Company,Date,Open,High,Low,Close,Adj Close,Volume
Apple,8/3/1998,1.223214,1.270089,1.1875,1.254464,0.842999,75440400
Apple,8/4/1998,1.267857,1.285714,1.214286,1.220982,0.820499,73480400
Apple,8/5/1998,1.205357,1.285714,1.196429,1.285714,0.863999,113520400
Apple,8/6/1998,1.252232,1.316964,1.245536,1.316964,0.884999,109653600
Apple,8/7/1998,1.328125,1.334821,1.285714,1.303571,0.875999,74505200
Apple,8/10/1998,1.296875,1.359375,1.294643,1.354911,0.910499,122150000
Apple,8/11/1998,1.348214,1.464286,1.334821,1.392857,0.935999,439868800
Apple,8/12/1998,1.419643,1.462054,1.410154,1.430804,0.961499,172443600
Apple,8/13/1998,1.426339,1.455357,1.40625,1.408482,0.946499,97694800
Apple,8/14/1998,1.453125,1.455357,1.410714,1.446429,0.971999,112694400
Apple,8/17/1998,1.464286,1.529018,1.424107,1.497768,1.006499,232719200
Apple,8/18/1998,1.515625,1.549107,1.508929,1.520089,1.021499,151488400
Apple,8/19/1998,1.553571,1.5625,1.464286,1.464286,0.983999,121497600
Apple,8/20/1998,1.464286,1.46875,1.4375,1.450893,0.974999,97980400
Apple,8/21/1998,1.428571,1.555804,1.392857,1.535714,1.031999,203344400
Apple,8/24/1998,1.551339,1.553571,1.433036,1.470982,0.988499,152544000
Apple,8/25/1998,1.513393,1.513393,1.439732,1.457589,0.979499,123891600
Apple,8/26/1998,1.424107,1.46875,1.410714,1.441964,0.968999,101620400
Apple,8/27/1998,1.401786,1.401786,1.272321,1.339286,0.899999,278560800
Apple,8/28/1998,1.325893,1.375,1.21875,1.220982,0.820499,233063600
Apple,8/31/1998,1.241071,1.245536,1.107143,1.113839,0.748499,217056000
Apple,9/1/1998,1.120536,1.263393,1.09375,1.21875,0.818999,217268800
Apple,9/2/1998,1.267857,1.334821,1.258929,1.270089,0.853499,210750400
Apple,9/3/1998,1.25,1.254464,1.214286,1.236607,0.830999,102438000
Apple,9/4/1998,1.267857,1.301339,1.205357,1.254464,0.842999,94318000
Apple,9/8/1998,1.357143,1.366071,1.3125,1.366071,0.917999,100699200
Apple,9/9/1998,1.359375,1.361607,1.321429,1.334821,0.896999,88673200
Apple,9/10/1998,1.294643,1.366071,1.276786,1.361607,0.914999,131720400
