Company,Date,Open,High,Low,Close,Adj Close,Volume
Boeing,8/3/1998,38.6875,38.6875,37.8125,37.875,24.580643,5944200
Boeing,8/4/1998,37.875,38.375,36.75,36.875,23.931644,6537200
Boeing,8/5/1998,36.875,38,36.0625,36.5,23.688267,6621700
Boeing,8/6/1998,36.5,37.1875,36.0625,37.0625,24.053343,5701300
Boeing,8/7/1998,37.0625,39.4375,36.8125,39.25,25.473011,12764300
Boeing,8/10/1998,39.25,39.375,38.25,39.25,25.473011,5927300
Boeing,8/11/1998,38.5,38.5,37.25,38,24.661779,5340100
Boeing,8/12/1998,38,38.875,37.6875,38.875,25.322927,5168100
Boeing,8/13/1998,38.75,38.75,37.125,37.1875,24.223701,5264100
Boeing,8/14/1998,37.1875,37.75,36.3125,36.8125,23.979437,4811200
Boeing,8/17/1998,36.8125,37.125,36.0625,36.9375,24.060856,3425800
Boeing,8/18/1998,37,37.9375,37,37.5625,24.467983,3628100
Boeing,8/19/1998,37.5625,37.75,36.5625,36.75,23.938726,3916300
Boeing,8/20/1998,36.625,36.625,36.0625,36.3125,23.653732,4070500
Boeing,8/21/1998,36.3125,36.4375,35.8125,36.375,23.694445,3533800
Boeing,8/24/1998,36.375,36.8125,35.5,35.6875,23.246618,4131800
Boeing,8/25/1998,35.6875,36.375,35.125,35.375,23.043051,4105300
Boeing,8/26/1998,35.375,35.625,35,35.5,23.124474,3528300
Boeing,8/27/1998,35.4375,35.4375,34.25,35,22.798777,4723800
Boeing,8/28/1998,35,35.25,33.5,33.9375,22.106678,4223500
Boeing,8/31/1998,33.9375,34.1875,29,30.9375,20.152489,6486200
Boeing,9/1/1998,32.125,33.9375,32.125,33.0625,21.536697,15698200
Boeing,9/2/1998,33.5625,34.4375,33.5625,34,22.147385,8434200
Boeing,9/3/1998,34,34.5625,33.0625,34.5625,22.513802,6228900
Boeing,9/4/1998,34.5625,35,33.8125,33.9375,22.106678,3880800
Boeing,9/8/1998,35.5,37.75,35.5,36.1875,23.572323,4994100
Boeing,9/9/1998,36.1875,36.1875,35.0625,35.25,22.961637,4004300
Boeing,9/10/1998,34.5625,34.5625,33.625,33.875,22.065971,4718300
Boeing,9/11/1998,33.875,34.0625,33.5625,34,22.147385,4035200
Boeing,9/14/1998,34.0625,34.75,34.0625,34.375,22.391665,3756900
Boeing,9/15/1998,34.375,34.9375,34.125,34.25,22.310234,3785000
Boeing,9/16/1998,34.25,34.6875,34,34.5,22.473091,5677100
Boeing,9/17/1998,34.375,34.375,33.5625,34.0625,22.188101,3066700
Boeing,9/18/1998,34.1875,34.625,34.1875,34.4375,22.432381,3619000
Boeing,9/21/1998,34.4375,34.75,33.875,34,22.147385,3469000
Boeing,9/22/1998,34,34.625,34,34.1875,22.269526,3439900
Boeing,9/23/1998,34.1875,34.6875,33.6875,33.8125,22.025261,7053800
