Company,Date,Open,High,Low,Close,Adj Close,Volume
Chevron,8/3/1998,41.3125,41.3125,40.28125,40.5625,16.49247,3020200
Chevron,8/4/1998,41.125,41.125,39.15625,39.15625,15.920698,3763200
Chevron,8/5/1998,39.28125,39.34375,38.03125,39.34375,15.996934,3888200
Chevron,8/6/1998,39.21875,39.34375,38.03125,38.46875,15.641165,2500400
Chevron,8/7/1998,38.46875,39.9375,38.375,38.6875,15.7301,3493400
Chevron,8/10/1998,39,39,37.84375,37.84375,15.387049,2587000
Chevron,8/11/1998,38.28125,39.9375,37.90625,39.6875,16.136696,5547600
Chevron,8/12/1998,39.71875,40.125,39.375,39.9375,16.238346,3601600
Chevron,8/13/1998,39.9375,40.96875,39.84375,39.90625,16.225643,3239200
Chevron,8/14/1998,39.96875,40.46875,39.875,40.0625,16.289169,3106400
Chevron,8/17/1998,40,40.6875,39.6875,40.53125,16.479755,2610600
Chevron,8/18/1998,40.15625,40.4375,39.90625,40.25,16.615471,1940800
Chevron,8/19/1998,40.46875,40.46875,40.125,40.34375,16.654173,2091000
Chevron,8/20/1998,40.375,40.71875,39.96875,40.25,16.615471,3392600
Chevron,8/21/1998,40.03125,40.34375,39.1875,40.09375,16.55097,2491800
Chevron,8/24/1998,40.25,40.25,39.0625,39.34375,16.241371,2514400
Chevron,8/25/1998,39.59375,40,38.78125,39.09375,16.13817,2904000
Chevron,8/26/1998,39,39,37.9375,38.25,15.789855,3995200
Chevron,8/27/1998,38,38.5625,37.5,37.75,15.583456,3097800
Chevron,8/28/1998,37.71875,38.75,37.59375,37.625,15.531854,3081600
Chevron,8/31/1998,38,38.8125,37.03125,37.03125,15.286755,3778800
Chevron,9/1/1998,36.90625,38.5,36.90625,37.8125,15.609258,4580000
Chevron,9/2/1998,38.46875,38.5,36.9375,37.0625,15.299652,3182200
Chevron,9/3/1998,36.5625,37.875,36.5,37.84375,15.622165,3053200
Chevron,9/4/1998,38.71875,39.625,38.5625,38.9375,16.073662,4355400
Chevron,9/8/1998,39.375,40.0625,39.25,40,16.512268,3921600
Chevron,9/9/1998,40,40.53125,39.90625,40.125,16.563873,3724200
Chevron,9/10/1998,40,40.6875,39.90625,40,16.512268,3585000
Chevron,9/11/1998,40.40625,41.71875,40,41.25,17.028282,3518200
Chevron,9/14/1998,41.875,41.9375,41.1875,41.25,17.028282,2675400
Chevron,9/15/1998,41.09375,41.390598,40.8125,41.3125,17.054079,1912400
Chevron,9/16/1998,41.3125,41.4375,40.40625,41.375,17.079884,2319000
Chevron,9/17/1998,41.40625,41.46875,40.625,40.75,16.821875,2280200
Chevron,9/18/1998,40.65625,41.6875,40.03125,41.6875,17.208887,4560800
Chevron,9/21/1998,41.46875,41.875,40.875,41.125,16.976688,2051200
Chevron,9/22/1998,41.03125,41.0625,40.15625,40.53125,16.731571,1972400
Chevron,9/23/1998,41.0625,42.34375,40.875,42.34375,17.47979,2633600
Chevron,9/24/1998,42.34375,42.40625,41.03125,41.09375,16.963781,1895200
Chevron,9/25/1998,41.21875,42.34375,41.09375,41.6875,17.208887,2472200
Chevron,9/28/1998,42,42.5,41.375,42.375,17.492695,2625000
Chevron,9/29/1998,42.4375,44.5,41.9375,44,18.163496,6695200
Chevron,9/30/1998,43.8125,43.8125,42.03125,42.03125,17.350788,3972400
Chevron,10/1/1998,42,43.28125,41.78125,42,17.337891,5332000
Chevron,10/2/1998,42.46875,44.15625,41.96875,43.8125,18.086096,4605800
Chevron,10/5/1998,44.1875,44.71875,43.9375,44.46875,18.356995,5392600
Chevron,10/6/1998,44.46875,44.46875,43.4375,43.875,18.1119,4206200
Chevron,10/7/1998,43.625,43.75,42.875,43.6875,18.034504,3588800
Chevron,10/8/1998,43.46875,43.46875,42.09375,43.125,17.802296,3145000
Chevron,10/9/1998,43.15625,43.21875,42.21875,42.84375,17.686195,2209200
Chevron,10/12/1998,43.09375,43.1875,42.28125,42.53125,17.557186,2107000
Chevron,10/13/1998,42.875,43.09375,41.78125,41.78125,17.247583,3016600
Chevron,10/14/1998,42,42.78125,41.9375,42.0625,17.363691,3394200
Chevron,10/15/1998,42.125,43.5,41.5625,42.875,17.699093,4037400
Chevron,10/16/1998,43.4375,43.59375,43.09375,43.46875,17.944202,3758200
Chevron,10/19/1998,43.5,43.90625,42.625,43.15625,17.815189,3133400
Chevron,10/20/1998,43.15625,43.9375,43.09375,43.6875,18.034504,2857400
Chevron,10/21/1998,43.90625,43.90625,42.8125,43.625,18.008703,2712400
Chevron,10/22/1998,43,43,40.625,40.75,16.821875,5266000
Chevron,10/23/1998,40.75,41.0625,39.53125,40.46875,16.705772,4741600
Chevron,10/26/1998,41.40625,41.5625,40.15625,40.21875,16.602579,3258000
Chevron,10/27/1998,40.09375,40.6875,39.5625,39.5625,16.331671,3447000
Chevron,10/28/1998,39.65625,39.9375,39.21875,39.25,16.202669,2720800
Chevron,10/29/1998,39.28125,40.21875,39.28125,39.9375,16.486473,1728200
Chevron,10/30/1998,40.8125,41,40.53125,40.75,16.821875,2867400
Chevron,11/2/1998,40.75,41.5,40.4375,40.5625,16.744474,2615600
Chevron,11/3/1998,40.5625,41.03125,40,40.375,16.667084,2066800
Chevron,11/4/1998,40.5,40.625,39.5,39.8125,16.434868,2735400
Chevron,11/5/1998,39.75,40.53125,39.1875,40.53125,16.731571,3515800
Chevron,11/6/1998,40.875,41.84375,40.78125,41.65625,17.195986,2965800
Chevron,11/9/1998,41.75,41.75,40.84375,41.21875,17.015379,2191000
Chevron,11/10/1998,41.21875,41.4375,40.1875,40.25,16.615471,2543600
Chevron,11/11/1998,40.5,40.53125,39.71875,39.9375,16.486473,2381200
Chevron,11/12/1998,40.21875,41.875,40.21875,41.5,17.131479,3643800
Chevron,11/13/1998,41.90625,41.90625,40.8125,41.5,17.131479,2774600
Chevron,11/16/1998,41.4375,41.875,41.125,41.625,17.183081,3519200
Chevron,11/17/1998,41.53125,41.625,40.34375,40.375,16.667084,3258800
Chevron,11/18/1998,40.4375,40.75,39.78125,40.28125,16.883453,2682400
Chevron,11/19/1998,40.53125,40.59375,40,40.125,16.817966,2557200
Chevron,11/20/1998,40.28125,40.65625,40.0625,40.4375,16.948946,2896800
Chevron,11/23/1998,40.4375,40.4375,39.59375,40.15625,16.83106,2614200
Chevron,11/24/1998,40.09375,40.3125,39.625,39.8125,16.686981,2387600
Chevron,11/25/1998,40.125,40.84375,40.03125,40.1875,16.844166,2871400
Chevron,11/27/1998,41.75,42.8125,41.6875,42.8125,17.944399,4636600
Chevron,11/30/1998,42.125,42.15625,41.34375,41.8125,17.525255,4518200
Chevron,12/1/1998,41.875,42.15625,40.46875,40.96875,17.171612,3515200
Chevron,12/2/1998,40.78125,40.96875,39.53125,40.28125,16.883453,3011600
Chevron,12/3/1998,39.78125,40.625,39.78125,40,16.765577,1890800
Chevron,12/4/1998,40.5,41.0625,40.1875,41,17.184715,2075200
Chevron,12/7/1998,41.25,41.65625,40.6875,41.09375,17.224001,1746400
Chevron,12/8/1998,41,42.03125,40.46875,41.21875,17.2764,2709400
Chevron,12/9/1998,41.28125,44.125,41.28125,43.09375,18.062288,6493400
Chevron,12/10/1998,43.1875,43.5,42.0625,42.3125,17.734835,3386600
Chevron,12/11/1998,42.625,43.59375,42.25,42.96875,18.00989,3434600
Chevron,12/14/1998,42.25,42.96875,41.84375,42.84375,17.9575,2326400
Chevron,12/15/1998,42.25,42.25,41.3125,41.5,17.394279,3208600
Chevron,12/16/1998,41.75,42.25,41.375,42.0625,17.630051,3477600
Chevron,12/17/1998,41.78125,41.78125,40.5,41.3125,17.315701,2865600
Chevron,12/18/1998,41.46875,41.5625,41.1875,41.5,17.394279,3272800
Chevron,12/21/1998,41.5,42.125,41.5,42,17.603855,3136400
Chevron,12/22/1998,42.0625,42.3125,41.5,41.875,17.551456,1986200
Chevron,12/23/1998,41.875,42.5,41.65625,42.5,17.813423,1818800
Chevron,12/24/1998,42.25,42.71875,42.25,42.34375,17.747936,687000
Chevron,12/28/1998,42,42.6875,41.75,42.65625,17.878912,1401000
Chevron,12/29/1998,42.34375,42.78125,42.0625,42.5625,17.839615,1255000
Chevron,12/30/1998,42.59375,42.75,42.03125,42.09375,17.643145,1908800
Chevron,12/31/1998,42.15625,42.21875,41.40625,41.46875,17.381184,1850200
Chevron,1/4/1999,41.53125,42.25,40.875,41.03125,17.197813,2937400
Chevron,1/5/1999,41,41.03125,40.34375,40.4375,16.948946,2614000
Chevron,1/6/1999,41,42.09375,40.625,41.625,17.446667,2547400
Chevron,1/7/1999,41.25,42,41.21875,41.9375,17.577646,2115200
Chevron,1/8/1999,42.0625,42.09375,41.28125,41.96875,17.590752,1892400
Chevron,1/11/1999,41.96875,42.25,41.53125,42.0625,17.630051,1871400
Chevron,1/12/1999,42.0625,42.15625,40.84375,41.03125,17.197813,2478200
Chevron,1/13/1999,40.5,41.40625,40.5,40.65625,17.04064,2211400
Chevron,1/14/1999,40.6875,40.875,39.6875,39.9375,16.739372,2028000
Chevron,1/15/1999,40,40.46875,39.875,40.03125,16.778666,2258000
Chevron,1/19/1999,40.125,40.6875,39.9375,40.28125,16.883453,1766200
Chevron,1/20/1999,40.59375,40.90625,40,40,16.765577,2844200
Chevron,1/21/1999,40.125,40.34375,39.5,39.5,16.556007,2606400
Chevron,1/22/1999,39.65625,40.5625,39.25,40,16.765577,2854800
Chevron,1/25/1999,39.75,40,39.625,39.9375,16.739372,2809400
Chevron,1/26/1999,39.90625,39.9375,39.4375,39.75,16.660788,2685600
Chevron,1/27/1999,39.8125,39.8125,38.03125,38.25,16.03207,3106400
Chevron,1/28/1999,38.375,38.96875,37.65625,37.875,15.874908,2114200
Chevron,1/29/1999,37.625,37.625,36.6875,37.25,15.612937,3390600
Chevron,2/1/1999,37.53125,37.78125,36.65625,36.84375,15.442665,2637000
Chevron,2/2/1999,36.5625,37.8125,36.5625,37.46875,15.704626,2674400
Chevron,2/3/1999,37.46875,38.3125,37.28125,38,15.9273,3344000
Chevron,2/4/1999,38.25,38.75,37.875,38.46875,16.123764,2685800
Chevron,2/5/1999,38.6875,40.0625,38.625,39.4375,16.529806,5538800
Chevron,2/8/1999,39.53125,40.96875,39.3125,40.875,17.132317,4487600
Chevron,2/9/1999,40.75,40.78125,39.6875,39.875,16.713182,2587800
Chevron,2/10/1999,39.71875,40.25,39.15625,39.1875,16.425028,2116400
Chevron,2/11/1999,39.125,39.6875,38.8125,39.65625,16.621489,3562200
Chevron,2/12/1999,40,40.3125,39.625,39.9375,16.739372,2417200
Chevron,2/16/1999,39.96875,40.375,39.09375,39.75,16.660788,2450200
Chevron,2/17/1999,39.3125,39.5,38.53125,38.6875,16.46817,1904600
Chevron,2/18/1999,38.75,39.1875,38.15625,39,16.601189,2770200
Chevron,2/19/1999,38.5,38.96875,38.25,38.46875,16.375051,2777400
Chevron,2/22/1999,38.40625,39.15625,38,38.96875,16.587891,3655800
Chevron,2/23/1999,39,39.8125,38.71875,39.40625,16.774118,2630400
Chevron,2/24/1999,39.53125,39.875,39.03125,39.15625,16.667706,2298800
Chevron,2/25/1999,39.125,39.53125,39.09375,39.25,16.707611,2705200
Chevron,2/26/1999,39.375,39.65625,38.40625,38.4375,16.361757,2641200
Chevron,3/1/1999,38.375,38.375,37.65625,38.03125,16.188826,2655200
Chevron,3/2/1999,38.1875,38.65625,37.84375,37.84375,16.109011,1983400
Chevron,3/3/1999,37.875,39.09375,37.875,39,16.601189,2202400
Chevron,3/4/1999,38.875,40.0625,38.75,39.65625,16.880537,2787800
Chevron,3/5/1999,39.78125,40.84375,39.78125,40.65625,17.30621,3431400
Chevron,3/8/1999,40.375,41.125,40.125,40.53125,17.253008,2722800
Chevron,3/9/1999,40.46875,40.59375,39.65625,39.96875,17.013563,2734000
Chevron,3/10/1999,40.75,41.78125,40.71875,41.625,17.71858,3461600
Chevron,3/11/1999,42.25,43.5,42.1875,42.53125,18.104345,6373000
Chevron,3/12/1999,43.28125,43.4375,42.3125,42.34375,18.024523,4203200
Chevron,3/15/1999,41.78125,42.21875,41.625,42.1875,17.958033,2825200
Chevron,3/16/1999,42.15625,42.6875,42.0625,42.6875,18.170853,2918600
Chevron,3/17/1999,42.6875,43.46875,42.59375,42.8125,18.224066,4521800
Chevron,3/18/1999,42.96875,43.3125,42.84375,43.25,18.410299,4482000
Chevron,3/19/1999,43.5,43.9375,43.3125,43.75,18.623127,4296000
Chevron,3/22/1999,43.9375,44.40625,43.46875,44.1875,18.809364,3028400
Chevron,3/23/1999,43.71875,43.78125,43.4375,43.6875,18.596529,3028000
Chevron,3/24/1999,43.5625,43.625,42.71875,42.75,18.19746,2023200
Chevron,3/25/1999,42.75,43.46875,42.3125,43.46875,18.503408,2542800
Chevron,3/26/1999,43.46875,43.59375,42.90625,43.40625,18.476809,1979400
Chevron,3/29/1999,44.34375,45.15625,44.21875,44.8125,19.075405,4350200
Chevron,3/30/1999,44.78125,44.8125,44.21875,44.5,18.942389,2240400
Chevron,3/31/1999,44.90625,44.90625,44.0625,44.375,18.889181,2710600
Chevron,4/1/1999,44.15625,44.625,43.1875,43.40625,18.476809,2047200
Chevron,4/5/1999,43.4375,45.34375,43.4375,45.3125,19.288246,2418000
Chevron,4/6/1999,44.84375,44.96875,44.3125,44.78125,19.062105,1883200
Chevron,4/7/1999,44.78125,44.96875,44.46875,44.96875,19.141926,2286600
Chevron,4/8/1999,44.9375,46.96875,44.875,46.875,19.953362,3869600
Chevron,4/9/1999,46.3125,47,46.125,47,20.006573,3608600
Chevron,4/12/1999,47,47.90625,46.9375,47.75,20.325817,3390400
Chevron,4/13/1999,47.5,47.625,47.03125,47.25,20.112989,3576000
Chevron,4/14/1999,46.375,46.5625,45.28125,45.5625,19.39467,3166600
Chevron,4/15/1999,45.75,48.375,45.75,47.875,20.37903,3966200
Chevron,4/16/1999,48.5,49.59375,48.25,49.4375,21.044146,3902400
Chevron,4/19/1999,50.59375,52.46875,50.40625,50.96875,21.695955,6816000
Chevron,4/20/1999,49.5,49.5,47.71875,48.53125,20.658382,4930000
Chevron,4/21/1999,48.5,48.9375,47.125,48.1875,20.512053,3407000
Chevron,4/22/1999,47.6875,49.5,46.5,49.25,20.964323,3646800
Chevron,4/23/1999,49.34375,49.34375,47.8125,47.9375,20.405638,1952400
Chevron,4/26/1999,47.6875,47.71875,46.78125,47.71875,20.312519,1824400
Chevron,4/27/1999,47.75,49.78125,47.71875,49.46875,21.05744,2802600
Chevron,4/28/1999,49.40625,52.125,49.34375,51.4375,21.895485,4156200
Chevron,4/29/1999,50.4375,52.21875,50.03125,51.78125,22.041813,4317400
Chevron,4/30/1999,51.75,51.75,49.53125,49.875,21.230371,3206800
Chevron,5/3/1999,49.875,51.28125,49.8125,51.03125,21.722555,3339200
Chevron,5/4/1999,51,51.375,50.0625,50.15625,21.35009,2926200
Chevron,5/5/1999,50.15625,50.375,48.78125,50.03125,21.296877,2908200
Chevron,5/6/1999,49.46875,50.15625,48.25,48.90625,20.818003,2493400
Chevron,5/7/1999,48.59375,48.96875,47.03125,47.4375,20.192799,3757400
Chevron,5/10/1999,47.5,48.21875,47.09375,48.125,20.485443,3463600
Chevron,5/11/1999,48.9375,49.21875,48.25,49.03125,20.871206,2561800
Chevron,5/12/1999,49.03125,49.03125,47.03125,47.34375,20.152893,3327200
Chevron,5/13/1999,47.03125,47.53125,46.75,47.21875,20.099684,2078600
Chevron,5/14/1999,47.25,47.84375,46.6875,47.21875,20.099684,2385400
Chevron,5/17/1999,47.21875,48.0625,47.0625,47.9375,20.405638,1773400
Chevron,5/18/1999,47.25,47.3125,46.0625,46.3125,19.968008,4077600
Chevron,5/19/1999,45.9375,46.90625,45.5625,46.03125,19.846743,3132000
Chevron,5/20/1999,45.875,47.15625,45.875,46.875,20.210537,2326000
Chevron,5/21/1999,46.78125,47.125,46.46875,46.71875,20.143173,1933000
Chevron,5/24/1999,46.875,47.875,45.46875,45.9375,19.806318,2957000
Chevron,5/25/1999,46,46.9375,45.5,45.5,19.617689,1849600
Chevron,5/26/1999,46.09375,47.21875,46.09375,47.03125,20.27791,2155400
Chevron,5/27/1999,46.75,46.75,45.96875,46.5,20.048849,2238600
Chevron,5/28/1999,46.375,46.71875,46.03125,46.25,19.941059,1858600
Chevron,6/1/1999,46.15625,46.1875,44.84375,45.21875,19.496422,2963200
Chevron,6/2/1999,45.5,46.21875,45.1875,46,19.833269,2713600
Chevron,6/3/1999,46.3125,47.15625,45.5625,45.78125,19.738964,2663600
Chevron,6/4/1999,45.90625,46.15625,45.15625,45.78125,19.738964,2281000
Chevron,6/7/1999,46.0625,46.1875,45.8125,46.03125,19.846743,2419800
Chevron,6/8/1999,46.03125,46.53125,45.6875,46.375,19.994957,2301400
Chevron,6/9/1999,46,46.53125,45.6875,46.3125,19.968008,2444400
Chevron,6/10/1999,46.125,46.71875,45.75,46.625,20.102753,2723600
Chevron,6/11/1999,47.125,47.3125,46.09375,46.53125,20.062323,1938000
Chevron,6/14/1999,47,47.5,46.75,47.375,20.426107,2365400
Chevron,6/15/1999,47.25,48.5,46.90625,48,20.695589,3129800
Chevron,6/16/1999,48.625,48.625,47.46875,47.90625,20.655169,2069000
Chevron,6/17/1999,47.6875,47.75,46.375,46.84375,20.197065,2711800
Chevron,6/18/1999,46.875,47.40625,46.46875,46.59375,20.08927,3372000
Chevron,6/21/1999,46.71875,46.71875,45.03125,45.34375,19.550322,2280000
Chevron,6/22/1999,45.0625,45.15625,44.59375,45.0625,19.429056,2430600
Chevron,6/23/1999,45.71875,46.6875,45.65625,46.3125,19.968008,3185600
Chevron,6/24/1999,46.46875,46.46875,45.546848,45.8125,19.752428,2324600
Chevron,6/25/1999,45.71875,45.84375,44.9375,45.0625,19.429056,2004200
Chevron,6/28/1999,45.15625,45.1875,44.71875,44.75,19.294317,2625200
Chevron,6/29/1999,45.375,47,45.125,46.84375,20.197065,3926800
Chevron,6/30/1999,46.90625,48.21875,46.75,47.53125,20.493481,3712000
Chevron,7/1/1999,48.25,48.46875,47.90625,48.21875,20.789909,2542800
Chevron,7/2/1999,48.21875,48.28125,47.65625,48.125,20.749485,1670800
Chevron,7/6/1999,48.4375,49.5,48.4375,49.15625,21.194113,2727800
Chevron,7/7/1999,49.09375,49.84375,48.5,49.84375,21.490536,2562800
Chevron,7/8/1999,50,50.40625,48.53125,49.0625,21.153692,2785400
Chevron,7/9/1999,48.25,49.0625,48.25,48.625,20.965055,1902800
Chevron,7/12/1999,48.84375,49.53125,48.6875,49.46875,21.328846,1502000
Chevron,7/13/1999,49.15625,49.1875,48,48.5625,20.938116,1514200
Chevron,7/14/1999,48.625,48.71875,48,48.15625,20.762949,1500200
Chevron,7/15/1999,48.65625,49.25,48.375,48.46875,20.897686,1717400
Chevron,7/16/1999,48.4375,48.4375,47.53125,47.8125,20.61475,2014600
Chevron,7/19/1999,47.5625,47.71875,47.03125,47.5625,20.506962,2041400
Chevron,7/20/1999,47.53125,47.84375,46.53125,46.65625,20.116215,1730400
Chevron,7/21/1999,46.46875,47.125,45.8125,47.125,20.318325,2099600
Chevron,7/22/1999,47.1875,47.25,45.84375,46.8125,20.183594,2307400
Chevron,7/23/1999,47.34375,47.34375,46.71875,46.90625,20.224005,1414400
Chevron,7/26/1999,47.03125,47.6875,46.09375,46.1875,19.914118,2161000
Chevron,7/27/1999,46.4375,46.59375,45.78125,45.78125,19.738964,2799000
Chevron,7/28/1999,45.75,46.40625,45.65625,46.125,19.887165,2406600
Chevron,7/29/1999,45.875,46,45.59375,45.6875,19.698536,1889200
Chevron,7/30/1999,45.96875,46.65625,45.625,45.625,19.671583,2363400
Chevron,8/2/1999,45.65625,46.28125,45.46875,45.625,19.671583,1705000
Chevron,8/3/1999,46.375,46.53125,45.5625,46.5,20.048849,2072200
Chevron,8/4/1999,46.53125,47.25,46.125,46.78125,20.170113,2670000
Chevron,8/5/1999,47.21875,47.71875,46.71875,47.71875,20.574324,3391400
Chevron,8/6/1999,47.65625,48.21875,47.5,47.90625,20.655169,2260000
Chevron,8/9/1999,48,48.375,47.84375,48.3125,20.83033,1754800
Chevron,8/10/1999,48.28125,48.65625,48.15625,48.40625,20.870747,2223200
Chevron,8/11/1999,48.1875,48.1875,47.03125,48.03125,20.709059,2688400
Chevron,8/12/1999,47.75,48.46875,47.21875,48.03125,20.709059,1760200
Chevron,8/13/1999,48.0625,48.84375,47.71875,48.375,20.857265,3346200
Chevron,8/16/1999,48,48.25,46.90625,47.9375,20.668642,1619400
Chevron,8/17/1999,48.0625,48.0625,46.96875,47.6875,20.560854,3028800
Chevron,8/18/1999,47.25,47.9375,46.9375,47.21875,20.62254,2777400
Chevron,8/19/1999,47.1875,47.65625,46.78125,47.25,20.636187,2766000
Chevron,8/20/1999,47.3125,47.6875,47.3125,47.53125,20.759024,2825800
Chevron,8/23/1999,47.53125,48,47.09375,47.96875,20.950104,3582200
Chevron,8/24/1999,47.875,48.21875,47.5625,47.96875,20.950104,2035600
Chevron,8/25/1999,48.0625,48.1875,46.9375,47.53125,20.759024,2014800
Chevron,8/26/1999,47.3125,47.3125,46.03125,46.34375,20.240389,3805200
Chevron,8/27/1999,46.46875,46.75,46.21875,46.375,20.254045,1707200
Chevron,8/30/1999,46.1875,46.40625,45.65625,45.65625,19.940136,1678600
Chevron,8/31/1999,45.96875,46.9375,45.9375,46.15625,20.158501,2778800
Chevron,9/1/1999,46.375,46.5,45.96875,46.09375,20.131203,2080200
Chevron,9/2/1999,45.8125,46.0625,45.625,46,20.090258,1827400
Chevron,9/3/1999,46.40625,47.03125,46.40625,46.84375,20.458761,1428000
Chevron,9/7/1999,46.96875,47.21875,46.375,46.59375,20.349585,2435400
Chevron,9/8/1999,47.34375,47.84375,46.6875,47.21875,20.62254,2318400
Chevron,9/9/1999,47.5,49.0625,47.46875,48.78125,21.304955,3580200
Chevron,9/10/1999,48.78125,48.875,47.875,47.9375,20.936449,1879000
Chevron,9/13/1999,47.84375,47.84375,46.6875,46.84375,20.458761,2585600
Chevron,9/14/1999,46.75,47.125,46.15625,46.375,20.254045,3517600
Chevron,9/15/1999,46.4375,46.5625,45.9375,46.15625,20.158501,3881600
Chevron,9/16/1999,46.4375,46.46875,45.84375,46.0625,20.117548,1733400
Chevron,9/17/1999,46.40625,46.78125,45.96875,46.5,20.30863,3257600
Chevron,9/20/1999,46.53125,46.5625,45.90625,46.0625,20.117548,1121000
Chevron,9/21/1999,45.5625,45.6875,44.53125,44.875,19.598923,2379400
Chevron,9/22/1999,45.6875,45.6875,44.8125,44.8125,19.57163,3271600
Chevron,9/23/1999,45.25,45.875,44.46875,44.59375,19.476088,2338600
Chevron,9/24/1999,44.59375,44.84375,43.59375,44,19.216757,2271800
Chevron,9/27/1999,44.09375,44.84375,43.90625,44.59375,19.476088,1591400
Chevron,9/28/1999,44.46875,44.46875,42.78125,43.8125,19.134884,1912600
Chevron,9/29/1999,44.25,45.09375,43.90625,44.09375,19.257713,2275400
Chevron,9/30/1999,44.15625,44.53125,43.65625,44.375,19.380548,2227800
Chevron,10/1/1999,44.40625,44.5625,43.71875,44.09375,19.257713,1869600
