Company,Date,Open,High,Low,Close,Adj Close,Volume
GoldmanSachs,5/4/1999,76,77.25,70,70.375,57.739902,22320900
GoldmanSachs,5/5/1999,69.875,69.875,66.25,69.125,56.71434,7565700
GoldmanSachs,5/6/1999,68,69.375,67.0625,67.9375,55.74004,2905700
GoldmanSachs,5/7/1999,67.9375,74.875,66.75,74.125,60.81662,4862300
GoldmanSachs,5/10/1999,73.375,73.5,70.25,70.6875,57.996292,2589400
GoldmanSachs,5/11/1999,70,71.1875,69.5,70.625,57.945019,1839800
GoldmanSachs,5/12/1999,71,74.875,69.125,73.5,60.30386,2659300
GoldmanSachs,5/13/1999,73.25,75.25,72.5,73.1875,60.047462,1142900
GoldmanSachs,5/14/1999,71.25,72.25,69.0625,70.1875,57.586086,2058400
GoldmanSachs,5/17/1999,69.125,70.25,68,68.625,56.304104,2075000
GoldmanSachs,5/18/1999,68.25,70.4375,68.125,68.625,56.304104,1407100
GoldmanSachs,5/19/1999,69.375,69.8125,68.75,69.3125,56.86816,727400
GoldmanSachs,5/20/1999,69.5625,70.125,68.375,68.375,56.098972,520800
GoldmanSachs,5/21/1999,68.125,68.8125,67.5,67.5,55.381104,936200
GoldmanSachs,5/24/1999,67,67.25,65,65.3125,53.586327,1493000
GoldmanSachs,5/25/1999,64.125,65.9375,64,64.5,52.919697,1662400
GoldmanSachs,5/26/1999,65.625,66.625,63.0625,66.0625,54.201683,1602900
GoldmanSachs,5/27/1999,65,67.75,64.6875,67.75,55.586212,1220500
GoldmanSachs,5/28/1999,67.75,68.8125,67,67.9375,55.74004,901900
GoldmanSachs,6/1/1999,66.625,66.625,63.5625,64.1875,52.663322,953900
GoldmanSachs,6/2/1999,63.75,64.0625,62,63.25,51.894135,2204300
GoldmanSachs,6/3/1999,64,64.1875,63.125,63.625,52.201797,852600
GoldmanSachs,6/4/1999,64.3125,67,64.3125,65.375,53.637604,1357400
GoldmanSachs,6/7/1999,65.1875,67.75,65.1875,65.9375,54.099129,891900
GoldmanSachs,6/8/1999,65.375,65.6875,63.75,63.75,52.304363,571700
GoldmanSachs,6/9/1999,64.25,65.5,63.625,65.5,53.740154,611400
GoldmanSachs,6/10/1999,64.875,64.9375,63.3125,63.375,51.996685,664200
GoldmanSachs,6/11/1999,63.9375,64.3125,62.3125,63.25,51.894135,969300
GoldmanSachs,6/14/1999,63.5,64,60.5,61.25,50.253201,821100
GoldmanSachs,6/15/1999,62.875,63.375,62.25,62.75,51.483891,831700
GoldmanSachs,6/16/1999,63.9375,65.4375,63.9375,65.25,53.535057,690300
