Company,Date,Open,High,Low,Close,Adj Close,Volume
IBM,8/3/1998,67,67.4375,66.15625,66.375,45.775944,8355800
IBM,8/4/1998,67,67.125,63.40625,63.40625,43.728539,13377800
IBM,8/5/1998,63.5,64.625,62,64.375,44.396626,13107200
IBM,8/6/1998,63.90625,65.46875,63.6875,64.875,44.894878,8202600
IBM,8/7/1998,65.875,67.125,64.5625,64.5625,44.678627,11530600
IBM,8/10/1998,64.4375,65.0625,64.375,64.9375,44.938141,6055400
IBM,8/11/1998,63.0625,64.25,62.65625,64.25,44.462372,10229400
IBM,8/12/1998,64.375,64.78125,63.78125,64,44.289352,7364600
IBM,8/13/1998,63.78125,64.1875,63,63.09375,43.662224,6053600
IBM,8/14/1998,63.3125,63.6875,62,62.6875,43.381077,6295800
IBM,8/17/1998,62.5625,63,62.125,62.5625,43.294594,6355000
IBM,8/18/1998,63.5,64.75,63.5,64.4375,44.592117,7583800
IBM,8/19/1998,64.75,65.5,64.53125,64.96875,44.959751,7142200
IBM,8/20/1998,64.75,65.03125,63.75,64.03125,44.311001,6080600
IBM,8/21/1998,63.75,64,62.25,63.9375,44.246117,8440800
IBM,8/24/1998,64,64.34375,63.65625,64.28125,44.483997,5770800
IBM,8/25/1998,64.5625,65.4375,63.8125,64.21875,44.44075,5264400
IBM,8/26/1998,63.625,65.875,63.5,65.4375,45.284145,8823400
IBM,8/27/1998,64.375,64.375,62.40625,62.625,43.337845,14693800
IBM,8/28/1998,62.625,62.90625,60.40625,61.28125,42.407948,11605200
IBM,8/31/1998,61.5,61.6875,56.3125,56.3125,38.969456,14972600
IBM,9/1/1998,56.5,59.46875,55.375,58.96875,40.807636,16799400
IBM,9/2/1998,60.5,61.875,59.9375,60.25,41.694305,11255600
IBM,9/3/1998,59.375,61.34375,59.03125,60.875,42.126797,9646200
IBM,9/4/1998,61.25,61.4375,57.65625,59.6875,41.305042,8245800
IBM,9/8/1998,62.46875,62.96875,61.09375,62.96875,43.575706,9285000
IBM,9/9/1998,62.875,63.71875,61.6875,61.75,42.732319,9989400
IBM,9/10/1998,61.0625,61.25,59.09375,61.25,42.386307,11159600
IBM,9/11/1998,60.6875,63.28125,60.3125,63.28125,43.791973,9930200
IBM,9/14/1998,64,64.96875,63.8125,64.5625,44.678627,9114200
IBM,9/15/1998,64.5,65.34375,64.25,65,44.981384,6493600
IBM,9/16/1998,65,65.46875,64.09375,65.25,45.154388,6638800
IBM,9/17/1998,63.75,64.125,63.09375,63.375,43.856853,8840400
IBM,9/18/1998,63.375,63.625,62.125,62.34375,43.143219,9212400
IBM,9/21/1998,60.0625,64.3125,60,64.09375,44.354229,8713200
IBM,9/22/1998,64.6875,65.3125,63.84375,63.875,44.202862,8591200
IBM,9/23/1998,64.375,66.5,64.25,66.03125,45.695042,8660800
IBM,9/24/1998,65.78125,67.46875,65.125,65.28125,45.176044,8400400
IBM,9/25/1998,65,66.84375,64.90625,66.75,46.19244,7306200
IBM,9/28/1998,67.25,68.09375,66.09375,66.8125,46.235676,7640800
IBM,9/29/1998,66.875,67.0625,65,65.71875,45.47879,7089800
IBM,9/30/1998,65.375,65.75,63.8125,64.25,44.462372,8299400
IBM,10/1/1998,62.53125,63.21875,61.6875,62.6875,43.381077,12537400
IBM,10/2/1998,62.0625,62.625,59.46875,62.40625,43.186459,14605200
IBM,10/5/1998,61.875,61.875,58.65625,60.125,41.607784,13442000
IBM,10/6/1998,62,62,59.375,59.625,41.261784,14367400
IBM,10/7/1998,59.75,61.4375,59.0625,60.375,41.780792,13164800
IBM,10/8/1998,60.375,61.75,58.40625,61.75,42.732319,18312600
