Company,Date,Open,High,Low,Close,Adj Close,Volume
JPMorgan&Chase,8/3/1998,50.416668,50.708332,49.791668,49.875,27.393267,4420800
JPMorgan&Chase,8/4/1998,50.166668,50.458332,46.416668,46.416668,25.493822,6974500
JPMorgan&Chase,8/5/1998,47.291668,47.875,45.791668,47.583332,26.134583,5957500
JPMorgan&Chase,8/6/1998,47.333332,47.708332,46.458332,47.666668,26.180361,5556900
JPMorgan&Chase,8/7/1998,47.708332,48.25,46,46.125,25.333611,5194200
JPMorgan&Chase,8/10/1998,46,46.208332,45.166668,45.666668,25.081881,3980100
JPMorgan&Chase,8/11/1998,44.666668,44.708332,42.416668,43.833332,24.074938,7264900
JPMorgan&Chase,8/12/1998,44.625,44.916668,43.958332,44.125,24.235142,5294400
JPMorgan&Chase,8/13/1998,43.916668,44.375,42.666668,42.75,23.479939,5388300
JPMorgan&Chase,8/14/1998,43.5,43.916668,42.458332,42.916668,23.571476,4213800
JPMorgan&Chase,8/17/1998,42.708332,44.541668,42.416668,44.333332,24.349566,3960400
JPMorgan&Chase,8/18/1998,44.416668,46.375,44.375,46.125,25.333611,5225500
JPMorgan&Chase,8/19/1998,46.875,46.916668,45.208332,45.25,24.853037,5028900
JPMorgan&Chase,8/20/1998,45,45.083332,43.416668,43.583332,23.937635,4448100
JPMorgan&Chase,8/21/1998,42.333332,42.583332,40.041668,42.458332,23.319727,11853400
JPMorgan&Chase,8/24/1998,42.833332,43.5,42.166668,42.708332,23.457056,4651900
JPMorgan&Chase,8/25/1998,43.625,44.083332,42.25,42.75,23.479939,4914900
JPMorgan&Chase,8/26/1998,42,43.583332,41.666668,42.833332,23.525709,4763700
JPMorgan&Chase,8/27/1998,40.375,41,38.666668,38.75,21.282982,13659400
JPMorgan&Chase,8/28/1998,39.75,40.25,36.791668,37.666668,20.687975,11808700
JPMorgan&Chase,8/31/1998,37.833332,39,34.833332,35,19.223347,11803500
JPMorgan&Chase,9/1/1998,35.333332,38.291668,33.333332,36.583332,20.092958,11699800
JPMorgan&Chase,9/2/1998,36.75,38.625,36.083332,36.583332,20.092958,10603300
JPMorgan&Chase,9/3/1998,34,35.375,32.666668,32.833332,18.033314,12784500
JPMorgan&Chase,9/4/1998,33.083332,33.416668,29.666666,30.25,16.614462,22328400
JPMorgan&Chase,9/8/1998,32.208332,33.291668,30.25,31.416666,17.255232,18160300
JPMorgan&Chase,9/9/1998,30.958334,30.958334,29.041666,29.75,16.339838,12064800
