Company,Date,Open,High,Low,Close,Adj Close,Volume
Merck,8/3/1998,61.4375,62.15625,60.75,60.75,29.019966,4017600
Merck,8/4/1998,61.75,61.8125,59.5625,59.5625,28.452711,8268800
Merck,8/5/1998,59.5625,61.34375,58.6875,60.5625,28.930399,8368400
Merck,8/6/1998,60.5625,62.03125,60.4375,61.125,29.199102,4040800
Merck,8/7/1998,60.8125,62.25,60.71875,61.9375,29.587233,5236800
Merck,8/10/1998,62.3125,64,62.28125,63.0625,30.124636,6315200
Merck,8/11/1998,62.25,62.40625,60.4375,62,29.617088,9499400
Merck,8/12/1998,62.25,62.6875,60.65625,62.625,29.915659,6483000
Merck,8/13/1998,62.625,63.90625,62.03125,63.375,30.273932,6626000
Merck,8/14/1998,63.40625,64.375,63.25,63.6875,30.423201,6793800
Merck,8/17/1998,64,65.71875,63.9375,65.625,31.348738,7173800
Merck,8/18/1998,65.25,65.9375,64.84375,65.75,31.408445,5949600
Merck,8/19/1998,65.875,65.9375,65.21875,65.46875,31.274096,4842800
Merck,8/20/1998,64.65625,64.8125,64.0625,64.34375,30.736683,6254600
Merck,8/21/1998,63,64.6875,62.5,64.5,30.811325,9550000
Merck,8/24/1998,64.5,66.0625,64.4375,65.6875,31.378592,5490800
Merck,8/25/1998,65.75,66.9375,65.75,66.75,31.886147,5833400
Merck,8/26/1998,66.125,67.53125,65.875,66.6875,31.856283,6954000
Merck,8/27/1998,65.71875,66.75,64.5,64.5625,30.84119,7489200
Merck,8/28/1998,64.75,65.125,62.40625,63.6875,30.423201,6710400
Merck,8/31/1998,63.6875,63.90625,57.53125,57.96875,27.691381,9903600
Merck,9/1/1998,58.9375,62,57.5,61.25,29.258816,10519600
Merck,9/2/1998,60.78125,62,59.71875,60,28.873838,7260600
Merck,9/3/1998,59.5625,61.875,59,61.75,29.715988,7730800
Merck,9/4/1998,61.5,62.21875,59.8125,61.0625,29.385132,7118200
Merck,9/8/1998,62.5,63,62.28125,62.75,30.197208,7747000
Merck,9/9/1998,62.75,64.21875,62.5,63.21875,30.422785,6431800
Merck,9/10/1998,62.5625,62.78125,61.4375,61.90625,29.791168,8334200
Merck,9/11/1998,62,64.03125,61.8125,64,30.798742,5662200
Merck,9/14/1998,65.1875,66.375,64.8125,66,31.761229,7689800
Merck,9/15/1998,66.125,68.5,66.09375,67.75,32.603367,10356600
Merck,9/16/1998,67.5,67.75,66.8125,67.625,32.543217,6397200
Merck,9/17/1998,66.5,67.1875,65.71875,66.90625,32.197334,6250400
Merck,9/18/1998,67.375,67.6875,66.28125,67.21875,32.347721,7571000
Merck,9/21/1998,66.125,69,65.8125,67.8125,32.633446,5956800
Merck,9/22/1998,68.0625,68.4375,67.375,68.3125,32.874058,5126200
Merck,9/23/1998,68.5,69.34375,68.25,69.28125,33.340263,6664800
Merck,9/24/1998,69,69.25,68.5,68.5625,32.99437,5720200
Merck,9/25/1998,66.8125,67.5,65.75,65.75,31.640905,6119000
Merck,9/28/1998,66,66.25,64,64.375,30.979221,8578400
Merck,9/29/1998,64.625,66.625,64.09375,65.96875,31.746183,7808600
Merck,9/30/1998,65.96875,66.96875,64.3125,64.78125,31.174717,6499000
Merck,10/1/1998,64.375,65.15625,62.34375,62.5,30.0769,7956000
Merck,10/2/1998,62.46875,64.75,61,63.875,30.738594,8542400
Merck,10/5/1998,64,65.5,62.5625,64.375,30.979221,8121400
Merck,10/6/1998,65,65.71875,62.625,63.8125,30.708521,6279200
Merck,10/7/1998,63.6875,65.0625,61.375,62.90625,30.272411,7657000
Merck,10/8/1998,61.8125,64.1875,60.8125,63.5,30.558136,8806600
Merck,10/9/1998,63.96875,65.1875,63.125,65.03125,31.295017,6077200
Merck,10/12/1998,66.125,66.9375,65.375,65.5625,31.550676,4888400
Merck,10/13/1998,65.5,66.5625,65,65.375,31.460455,6949200
Merck,10/14/1998,64.375,66,63.875,64.6875,31.129601,5929800
Merck,10/15/1998,64.125,66.875,64.09375,66.625,32.061981,6417400
Merck,10/16/1998,67,68,65.5625,68,32.723675,12066400
Merck,10/19/1998,67.5,67.875,66.4375,66.875,32.182281,6745200
Merck,10/20/1998,67.4375,67.4375,64.9375,65.3125,31.430368,8948400
Merck,10/21/1998,65.3125,67.125,65.28125,66.625,32.061981,5863400
Merck,10/22/1998,66.5,67.21875,65.625,66.71875,32.107105,4210400
Merck,10/23/1998,66.59375,67.125,65.25,65.28125,31.415333,4383200
Merck,10/26/1998,65.75,66.6875,65.40625,65.8125,31.670967,3623200
Merck,10/27/1998,66.5,66.5,65.59375,65.875,31.701063,3388000
Merck,10/28/1998,66.625,66.65625,65.75,66,31.761229,3064000
Merck,10/29/1998,66.25,68,66.25,67.96875,32.708622,5676400
Merck,10/30/1998,68.375,68.375,67.125,67.53125,32.498096,6195600
Merck,11/2/1998,67.875,69.4375,67.25,69.25,33.325211,5478400
Merck,11/3/1998,69.25,69.96875,68.375,69.78125,33.580872,4849400
Merck,11/4/1998,70,70.75,68.6875,69.15625,33.280117,7989200
Merck,11/5/1998,68.53125,71.15625,68.46875,70.96875,34.152325,6480400
Merck,11/6/1998,70.9375,72.75,70.84375,72.46875,34.87418,6621600
Merck,11/9/1998,72.5,73,71.8125,72.78125,35.024555,5383400
Merck,11/10/1998,72.84375,74.3125,72.65625,73.40625,35.325333,5794400
Merck,11/11/1998,72.5,72.5,71.375,72,34.648602,6026600
Merck,11/12/1998,71.96875,73.125,71.75,72.6875,34.979446,4458200
Merck,11/13/1998,72.65625,73.0625,72.1875,72.8125,35.039608,3362200
Merck,11/16/1998,73.15625,73.875,72.8125,73.65625,35.445621,2715000
Merck,11/17/1998,73.5,74.75,73.1875,73.6875,35.46069,4034800
Merck,11/18/1998,73.6875,74.875,73,74.6875,35.941914,3745000
Merck,11/19/1998,74.90625,75.375,74.34375,75.15625,36.167488,4165400
Merck,11/20/1998,75.34375,75.8125,74.8125,75.75,36.453213,4710800
Merck,11/23/1998,75.8125,78.0625,75.65625,78,37.535984,4928000
Merck,11/24/1998,77.75,79.9375,77.03125,79.3125,38.167595,8273400
Merck,11/25/1998,79.3125,79.71875,78.6875,79.25,38.137531,4268400
Merck,11/27/1998,78.875,79.46875,78.875,79.4375,38.227757,1329800
Merck,11/30/1998,79,79,77.34375,77.5625,37.325439,4524000
Merck,12/1/1998,77.125,78.71875,75.8125,78.5,37.776608,5570800
Merck,12/2/1998,77.84375,79.375,77.25,79.1875,38.371414,4954000
Merck,12/3/1998,78.8125,79.625,77.3125,77.4375,37.523411,4349800
Merck,12/4/1998,77.40625,78.875,77.40625,78.8125,38.18969,3465400
Merck,12/7/1998,78.3125,79.09375,77.71875,78.84375,38.20483,2506000
Merck,12/8/1998,78,79.5,77.9375,79.34375,38.447098,4835600
Merck,12/9/1998,79.0625,80.875,75.875,75.96875,36.811714,9494400
Merck,12/10/1998,73.78125,74.75,72.46875,73.125,35.433735,15944400
Merck,12/11/1998,72.5,74.46875,72.40625,72.78125,35.267162,8189800
Merck,12/14/1998,72.6875,73.5625,72.5,72.78125,35.267162,7312600
Merck,12/15/1998,72.75,73,70.75,72.9375,35.342861,7448600
Merck,12/16/1998,72.9375,74.375,72.9375,73.875,35.797153,5300200
Merck,12/17/1998,74.25,74.46875,73.65625,73.96875,35.84259,3575800
Merck,12/18/1998,74,74,72.15625,72.25,35.009743,8264600
Merck,12/21/1998,72.15625,74.09375,71.78125,72.03125,34.903736,6045600
Merck,12/22/1998,72.625,74.21875,72.125,73.6875,35.706299,4692800
Merck,12/23/1998,74.1875,75.1875,73.8125,74.8125,36.251419,4104800
Merck,12/24/1998,75.125,75.125,73.96875,74.40625,36.054569,1242200
Merck,12/28/1998,75,75.125,73.65625,74,35.857712,2274600
Merck,12/29/1998,73.6875,75.65625,73.15625,75.53125,36.599705,3822400
Merck,12/30/1998,75.34375,75.75,74.375,74.40625,36.054569,3120800
Merck,12/31/1998,74.25,74.5625,73.25,73.75,35.736588,3084000
Merck,1/4/1999,74.3125,76.34375,74.3125,74.875,36.281712,6439600
Merck,1/5/1999,74.875,75.625,74.875,75.375,36.523994,4386000
Merck,1/6/1999,75.8125,76.84375,75.53125,76.84375,37.235714,4801400
Merck,1/7/1999,76.0625,76.84375,75.75,76.15625,36.902557,4207600
Merck,1/8/1999,76.21875,77,74.5625,76.90625,37.26601,6170800
Merck,1/11/1999,76.40625,76.40625,74.5,75.34375,36.50885,6956600
Merck,1/12/1999,74.5,75.3125,73.625,73.96875,35.84259,5675600
Merck,1/13/1999,73,73.90625,72.6875,73.6875,35.706299,7153000
Merck,1/14/1999,73.1875,73.84375,72.25,72.375,35.070305,5193200
Merck,1/15/1999,73,73.9375,72.8125,73.5625,35.645741,5033200
Merck,1/19/1999,74.3125,74.3125,72.75,73.875,35.797153,4548800
Merck,1/20/1999,73.8125,74.9375,72.75,74.4375,36.069717,5478800
Merck,1/21/1999,74.5625,76.09375,72.96875,73.15625,35.448887,6323600
Merck,1/22/1999,73,74,69.5,69.5,33.677185,5149200
Merck,1/25/1999,68.5,69,67.46875,68.75,33.313766,13487000
Merck,1/26/1999,68.125,72,68.09375,72,34.888599,11413200
Merck,1/27/1999,72.5,73.125,71.875,71.875,34.828007,7759400
Merck,1/28/1999,72,72.1875,70.65625,71.21875,34.510025,5983400
Merck,1/29/1999,71.6875,73.6875,69.75,73.375,35.554886,6256800
Merck,2/1/1999,73.25,73.96875,72.6875,73.46875,35.600296,4479800
Merck,2/2/1999,74.375,75.15625,74.15625,75.15625,36.417999,6391000
Merck,2/3/1999,75.15625,75.5625,74,74.9375,36.312,5448400
Merck,2/4/1999,75.375,75.96875,74.5,75.125,36.402874,4508200
Merck,2/5/1999,75.3125,75.3125,73.6875,74.6875,36.190865,4364200
Merck,2/8/1999,74.6875,75.125,74,74.9375,36.312,3907600
Merck,2/9/1999,74.3125,74.4375,72.53125,72.6875,35.221733,4005200
Merck,2/10/1999,72.625,73.8125,72.1875,73.125,35.433735,4759800
Merck,2/11/1999,73.03125,75.75,72.90625,75.375,36.523994,4587200
Merck,2/12/1999,75.375,76.3125,74.59375,75.25,36.463444,5344800
Merck,2/16/1999,76.4375,77.46875,76.125,76.96875,37.296284,5717200
Merck,2/17/1999,77,77.1875,75.4375,76.1875,36.917706,4919600
Merck,2/18/1999,76.75,78.75,76,77.875,37.735409,6055200
Merck,2/19/1999,77.8125,79.5,77.125,79,38.280537,4479300
Merck,2/22/1999,79.5,81.75,78.875,81.75,39.613083,6863900
Merck,2/23/1999,81.75,82,80.3125,81.0625,39.279934,4791900
Merck,2/24/1999,80.5,81.9375,79.25,79.5,38.52282,3545300
Merck,2/25/1999,79.125,81.1875,78.75,80.8125,39.158813,4279000
Merck,2/26/1999,81.375,82,78.875,81.5,39.491959,4265400
Merck,3/1/1999,81.625,81.625,79.375,79.75,38.643955,3521900
Merck,3/2/1999,80,80.9375,78.6875,79.4375,38.492546,3675900
Merck,3/3/1999,79.375,79.6875,78,78.4375,38.1376,3512800
Merck,3/4/1999,78.5,80.625,78,80.4375,39.110043,5263800
Merck,3/5/1999,81.875,82.9375,81.5,82.75,40.234413,6195000
Merck,3/8/1999,81.375,83.625,81.25,82.9375,40.325565,5999700
Merck,3/9/1999,82.4375,83.625,81.625,83.125,40.416744,4365400
Merck,3/10/1999,82.5,82.8125,81.5625,82.8125,40.264786,4903400
Merck,3/11/1999,83.1875,83.1875,81.25,82.8125,40.264786,4465100
Merck,3/12/1999,83.1875,84,81.3125,83.875,40.781406,8249000
Merck,3/15/1999,83.9375,84.625,83.375,84.25,40.963741,4430300
Merck,3/16/1999,85,86.5,84.875,85.875,41.753845,5173000
Merck,3/17/1999,85.75,85.8125,83.75,84,40.842182,3832600
Merck,3/18/1999,84,86.9375,84,86,41.814617,3814800
Merck,3/19/1999,87.25,87.375,86,86,41.814617,6099500
Merck,3/22/1999,86.125,87,85.3125,86.375,41.996933,2607400
Merck,3/23/1999,86.75,87.25,82.125,83,40.355942,4588000
Merck,3/24/1999,82.75,82.9375,81.25,82.375,40.052082,3732000
Merck,3/25/1999,82.3125,82.75,81,82.5625,40.143223,4073900
Merck,3/26/1999,81.75,81.8125,80.25,80.375,39.079628,4099300
Merck,3/29/1999,81,82.25,80.8125,81.75,39.74818,3595000
Merck,3/30/1999,80.875,82.4375,80.625,82.25,39.991314,2918100
Merck,3/31/1999,81.875,82.5,80.125,80.125,38.958084,3798900
Merck,4/1/1999,80.4375,80.625,79.1875,79.9375,38.86692,4030800
Merck,4/5/1999,79.9375,80,77.75,78.1875,38.01606,6329300
Merck,4/6/1999,78.1875,79.5625,77.75,78.0625,37.95528,3625100
Merck,4/7/1999,79.1875,80.25,78.1875,80.1875,38.988483,3715600
Merck,4/8/1999,79.9375,82.4375,79.75,81.625,39.687424,4915200
Merck,4/9/1999,82.25,83.375,81.25,83.25,40.477535,3691300
Merck,4/12/1999,83.125,85.0625,82.875,85,41.328396,3834100
Merck,4/13/1999,84.125,84.8125,82,83.125,40.416744,4114500
Merck,4/14/1999,81.875,82.1875,77.75,78.5,38.168003,5242800
Merck,4/15/1999,78,78.875,75.3125,77.375,37.620995,8211900
Merck,4/16/1999,76.1875,79.5,75.125,77.625,37.742546,10556200
Merck,4/19/1999,78.375,78.4375,72.75,73.125,35.554565,7389400
Merck,4/20/1999,74,76.875,73.6875,75.25,36.587803,7247500
Merck,4/21/1999,75.75,76.5,75.125,75.875,36.891674,6245900
Merck,4/22/1999,75.6875,78.25,74,77.875,37.864098,6093000
Merck,4/23/1999,76.625,76.9375,75.125,75.75,36.830879,4655300
Merck,4/26/1999,75,75.0625,73.25,74,35.980011,6323800
Merck,4/27/1999,74,74.5,73.5,73.5625,35.767303,4928500
Merck,4/28/1999,72.5,72.9375,70.125,70.75,34.399826,7303400
Merck,4/29/1999,70.8125,70.8125,67.9375,70.375,34.217487,8229700
Merck,4/30/1999,71,71.8125,69,70.375,34.217487,7426500
Merck,5/3/1999,70,71.0625,69.625,70.6875,34.369423,5615100
Merck,5/4/1999,70.875,73,70.25,70.875,34.460606,6293700
Merck,5/5/1999,71,72.9375,69.625,72.8125,35.402626,5594500
Merck,5/6/1999,72.8125,74.625,72.5,74.375,36.162346,5022200
Merck,5/7/1999,75,75.8125,73.75,74.5,36.223125,4719700
Merck,5/10/1999,73.5,73.625,71.75,72.125,35.068363,4296000
Merck,5/11/1999,72.375,72.5,71.0625,71.5625,34.794861,5018700
Merck,5/12/1999,71.5,73.3125,70.5,71.5625,34.794861,7307600
Merck,5/13/1999,73.25,73.25,72.25,73,35.493797,5577800
