Company,Date,Open,High,Low,Close,Adj Close,Volume
HomeDepot,8/3/1998,27.708334,28.25,27.25,27.291666,18.950844,6920800
HomeDepot,8/4/1998,28.333334,28.333334,26.333334,26.666666,18.516855,10553100
HomeDepot,8/5/1998,27,27.166666,25.833334,27.083334,18.806175,8751400
HomeDepot,8/6/1998,26.875,28.125,26.791666,28,19.442701,6565600
HomeDepot,8/7/1998,28.541666,29.416666,28.375,29.333334,20.368542,7883100
HomeDepot,8/10/1998,29.333334,29.5,28.541666,28.708334,19.934553,6125400
HomeDepot,8/11/1998,27.75,28,27.166666,27.875,19.3559,7715500
HomeDepot,8/12/1998,28.333334,29.25,28.166666,29,20.137074,5414100
HomeDepot,8/13/1998,29.25,29.541666,29,29.041666,20.166016,5341300
HomeDepot,8/14/1998,29.333334,29.583334,27.708334,28,19.442701,5010400
HomeDepot,8/17/1998,27.75,29.333334,27.666666,28.541666,19.818823,6269400
HomeDepot,8/18/1998,29.5,29.875,29.166666,29.875,20.744658,7772500
HomeDepot,8/19/1998,30.333334,30.333334,29,29.208334,20.281746,6355900
HomeDepot,8/20/1998,28.875,29.583334,28.791666,28.833334,20.021355,5609200
HomeDepot,8/21/1998,28.416666,28.708334,28.166666,28.583334,19.84775,6725400
HomeDepot,8/24/1998,29.333334,29.458334,28.916666,29.333334,20.368542,3895600
HomeDepot,8/25/1998,30,30.416666,29.875,30.25,21.005049,6337900
HomeDepot,8/26/1998,29.958334,30.625,29.75,30.416666,21.120787,6696100
HomeDepot,8/27/1998,30,30.5,28.666666,29.958334,20.80253,8653200
HomeDepot,8/28/1998,29.916666,30.166666,28.083334,28.291666,19.645227,6569700
HomeDepot,8/31/1998,28.458334,28.5,23.875,25.416666,17.64887,14921100
HomeDepot,9/1/1998,25.666666,28.416666,23.5,27.5,19.118065,16743300
HomeDepot,9/2/1998,28.291666,28.333334,26.125,26.416666,18.364939,9311500
HomeDepot,9/3/1998,25.416666,26.416666,24.916666,25.791666,17.930433,12531300
HomeDepot,9/4/1998,26,26.25,24.708334,25.541666,17.75663,7640100
HomeDepot,9/8/1998,27.958334,27.958334,26.666666,27.791666,19.320841,8627500
HomeDepot,9/9/1998,27.833334,28.083334,27.041666,27.333334,19.002205,4850100
HomeDepot,9/10/1998,26.583334,26.916666,25.791666,26.291666,18.278025,5792100
HomeDepot,9/11/1998,25.833334,27.083334,25.708334,26.833334,18.654604,5548600
HomeDepot,9/14/1998,27.333334,27.5,26.833334,26.916666,18.712536,6198100
HomeDepot,9/15/1998,27.416666,28,27.208334,27.583334,19.176008,4917300
HomeDepot,9/16/1998,27.666666,28.5,27.541666,28.25,19.639471,4496400
HomeDepot,9/17/1998,26.708334,27.666666,26.666666,27.583334,19.176008,5578800
HomeDepot,9/18/1998,27.333334,27.583334,26.708334,26.916666,18.712536,6053100
HomeDepot,9/21/1998,26.083334,27.625,26,27.083334,18.828405,6269700
HomeDepot,9/22/1998,27.458334,28.166666,26.791666,28.041666,19.494635,5167000
HomeDepot,9/23/1998,28.375,29.75,27.916666,29.708334,20.653316,10092600
HomeDepot,9/24/1998,29,29.333334,27.666666,28.333334,19.697411,8883700
HomeDepot,9/25/1998,27.666666,28.666666,27.416666,28.666666,19.929138,4694500
HomeDepot,9/28/1998,28.875,29.583334,28,28.25,19.639471,4770900
HomeDepot,9/29/1998,28.666666,28.791666,27.375,27.583334,19.176008,6228900
HomeDepot,9/30/1998,27.416666,27.458334,25.833334,26.333334,18.307003,10480000
HomeDepot,10/1/1998,25.333334,26.25,23.75,24.083334,16.742796,18968200
HomeDepot,10/2/1998,24.333334,24.833334,23.208334,23.75,16.511066,17319300
HomeDepot,10/5/1998,23,23.75,22,23.416666,16.279322,11027700
HomeDepot,10/6/1998,24.333334,25.166666,23.75,24.583334,17.090395,8412900
HomeDepot,10/7/1998,24.666666,25.166666,23.458334,24,16.684868,5687400
HomeDepot,10/8/1998,22.75,23.25,21.083334,22.75,15.815859,20465400
HomeDepot,10/9/1998,22.791666,24.25,22.041666,24.166666,16.800735,8312100
HomeDepot,10/12/1998,25.5,25.5,24.75,24.75,17.206263,6631300
HomeDepot,10/13/1998,25.083334,25.208334,24.666666,25.166666,17.495934,4593100
HomeDepot,10/14/1998,24.75,26.083334,24.708334,25.833334,17.959394,5310700
HomeDepot,10/15/1998,25.333334,28.5,25.25,27.583334,19.176008,8223600
HomeDepot,10/16/1998,28.5,29.166666,27.583334,28.166666,19.581533,12842500
HomeDepot,10/19/1998,28.583334,29.416666,28.416666,29.416666,20.450546,8160900
HomeDepot,10/20/1998,29.625,29.958334,28.416666,28.416666,19.755335,9418200
HomeDepot,10/21/1998,29,29.333334,28.666666,28.916666,20.10294,4868700
HomeDepot,10/22/1998,28.5,29.291666,28.166666,29.125,20.247778,4278300
HomeDepot,10/23/1998,29.125,29.125,28.25,28.458334,19.784309,3300100
HomeDepot,10/26/1998,28.416666,28.833334,27.541666,27.833334,19.3498,6323500
HomeDepot,10/27/1998,28.583334,29,27.083334,27.25,18.944265,8151400
HomeDepot,10/28/1998,27.291666,28.458334,27.041666,28.125,19.55257,4401000
HomeDepot,10/29/1998,28,28.416666,27.791666,28.333334,19.697411,3812400
HomeDepot,10/30/1998,28.5,29.041666,28.125,29.041666,20.189842,6172500
HomeDepot,11/2/1998,29.25,30.041666,29.166666,29.916666,20.798149,5932600
HomeDepot,11/3/1998,30,30.041666,28.75,28.791666,20.016037,5840800
HomeDepot,11/4/1998,29.416666,29.875,29.166666,29.666666,20.624346,5316900
HomeDepot,11/5/1998,29.5,30.25,29.083334,30.208334,21.000912,4924900
HomeDepot,11/6/1998,30.041666,30.583334,29.916666,30.125,20.94297,5789700
HomeDepot,11/9/1998,30.291666,30.291666,29.208334,30.208334,21.000912,4695000
HomeDepot,11/10/1998,30.583334,31.125,30.458334,30.875,21.464376,7040800
HomeDepot,11/11/1998,31.291666,31.333334,30.416666,30.833334,21.435408,4797700
HomeDepot,11/12/1998,30.666666,31.041666,30.416666,30.625,21.290581,4657300
HomeDepot,11/13/1998,30.833334,31.041666,30.583334,31,21.55127,3882700
HomeDepot,11/16/1998,31.041666,31.583334,30.791666,31.583334,21.956808,6045100
HomeDepot,11/17/1998,31.583334,32.291668,31.25,31.916666,22.188545,8627100
HomeDepot,11/18/1998,32,32.666668,31.625,32.416668,22.53615,4718200
HomeDepot,11/19/1998,32.416668,32.916668,32.125,32.75,22.767885,5570400
HomeDepot,11/20/1998,33.041668,33.166668,32.666668,32.875,22.854788,5002900
HomeDepot,11/23/1998,33.166668,33.75,33,33.75,23.463087,5636100
HomeDepot,11/24/1998,33.333332,34,33.333332,33.541668,23.318253,5040300
HomeDepot,11/25/1998,33.666668,34.208332,33.625,33.833332,23.521025,5158000
HomeDepot,11/27/1998,33.791668,34.666668,33.5,34.5,23.984489,1995600
HomeDepot,11/30/1998,34.458332,34.5,33.166668,33.166668,23.05755,4923700
HomeDepot,12/1/1998,33.083332,34,32.166668,33.875,23.571306,4816600
HomeDepot,12/2/1998,33,33.625,33,33.375,23.223391,3725100
HomeDepot,12/3/1998,33.166668,34.041668,33,33.041668,22.99144,5119300
HomeDepot,12/4/1998,33.833332,34.166668,33.75,33.916668,23.600306,4385400
HomeDepot,12/7/1998,34.291668,35.458332,34.208332,35.125,24.441105,4064200
HomeDepot,12/8/1998,35.041668,36.583332,35.041668,36.416668,25.339874,6229500
HomeDepot,12/9/1998,36.208332,36.666668,35.916668,36.416668,25.339874,4441300
HomeDepot,12/10/1998,36.208332,36.333332,34.666668,35.083332,24.412106,4992400
HomeDepot,12/11/1998,35.083332,35.75,34.833332,35.458332,24.673029,3426600
HomeDepot,12/14/1998,34.75,35,33.833332,33.958332,23.629292,3846000
HomeDepot,12/15/1998,34,36.666668,34,36.166668,25.165913,5815500
HomeDepot,12/16/1998,36.333332,36.5,35.25,35.5,24.70204,3919000
