Company,Date,Open,High,Low,Close,Adj Close,Volume
3M,8/3/1998,37.46875,37.53125,36.75,37.375,20.398371,3076200
3M,8/4/1998,37.875,38.125,36.8125,36.8125,20.09137,2714400
3M,8/5/1998,37,37.96875,36.9375,37.875,20.671263,2668400
3M,8/6/1998,37.875,39.21875,37.8125,38.6875,21.114702,2971000
3M,8/7/1998,38.6875,39.5,38.40625,39.125,21.353476,2287600
3M,8/10/1998,39.125,39.125,38.15625,38.21875,20.858866,1749200
3M,8/11/1998,37.625,38.34375,37.25,38.25,20.875925,2231800
3M,8/12/1998,38.75,39.78125,38.5625,39.03125,21.302317,1678600
3M,8/13/1998,39.0625,39.46875,38.28125,38.28125,20.892981,1484600
3M,8/14/1998,38.3125,38.375,37.5625,37.78125,20.620087,1689800
3M,8/17/1998,37.6875,38.0625,37.46875,38.03125,20.756531,1765600
3M,8/18/1998,38.15625,38.96875,38.03125,38.75,21.148808,1882600
3M,8/19/1998,38.5625,39.125,38.5,38.71875,21.436012,1936600
3M,8/20/1998,38.71875,38.8125,38.125,38.25,21.176497,1833400
3M,8/21/1998,38.125,38.125,36.90625,37.5625,20.795868,2944600
3M,8/24/1998,38.0625,38.1875,37.1875,37.5,20.761272,2001800
3M,8/25/1998,37.6875,38.125,37.375,37.71875,20.882374,2609200
3M,8/26/1998,37.46875,37.625,36.875,37.0625,20.519051,1405200
3M,8/27/1998,36.9375,37.3125,35.96875,36.90625,20.432552,3485800
3M,8/28/1998,37.375,37.5,36.28125,36.3125,20.103827,2469600
3M,8/31/1998,36.75,36.8125,34,34.25,18.96195,2380600
3M,9/1/1998,33.875,34.25,32.8125,34.03125,18.840851,6328800
3M,9/2/1998,34.28125,35.5,33.84375,34.5625,19.13497,4308400
3M,9/3/1998,34.5,35.59375,34.25,35.34375,19.567495,3314600
3M,9/4/1998,35.46875,35.75,34.375,35.125,19.446388,1959800
3M,9/8/1998,36.25,37.28125,35.9375,36.96875,20.467152,2558800
3M,9/9/1998,37.125,37.1875,36.1875,36.8125,20.380642,2514600
3M,9/10/1998,36.5,36.5,34.4375,34.90625,19.325281,1993400
3M,9/11/1998,34.25,35.84375,34.25,35.78125,19.809706,2089400
3M,9/14/1998,36.25,37.25,35.3125,35.3125,19.550203,3414000
3M,9/15/1998,34.96875,35.6875,34.28125,35.53125,19.671305,3273200
3M,9/16/1998,35.875,37.125,35.8125,36.6875,20.311445,2505000
3M,9/17/1998,36,36.4375,35.28125,35.4375,19.619396,1713000
3M,9/18/1998,35.4375,35.75,34.5625,35.5,19.653997,3262000
3M,9/21/1998,35.28125,36.03125,34.875,35.71875,19.775116,1947600
3M,9/22/1998,36.0625,36.1875,35.40625,35.5,19.653997,1941200
3M,9/23/1998,35.625,36.625,35.15625,36.5625,20.242241,2244200
3M,9/24/1998,36.6875,37.6875,36.4375,36.6875,20.311445,2271000
3M,9/25/1998,36.71875,37.6875,36.5,37.15625,20.570961,2339800
3M,9/28/1998,37.75,38.625,37.46875,38.5625,21.349512,2257800
3M,9/29/1998,38.875,39.4375,38.40625,38.59375,21.3668,2919000
3M,9/30/1998,38.59375,38.8125,36.84375,36.84375,20.397947,2592600
3M,10/1/1998,36.6875,36.96875,35.46875,36.28125,20.086529,1875600
3M,10/2/1998,36.375,37.875,36.375,37.375,20.692064,2564200
3M,10/5/1998,37.40625,37.4375,35.875,36.40625,20.155727,2203800
3M,10/6/1998,37,37.375,36.875,36.90625,20.432552,2034800
3M,10/7/1998,36.96875,38.25,36.75,38.1875,21.141891,2813000
3M,10/8/1998,38.125,39.75,37.375,38.75,21.453316,5761800
3M,10/9/1998,39.375,39.71875,38.34375,39.5625,21.903135,2528000
3M,10/12/1998,39.8125,41.25,39.65625,40.28125,22.301058,2966200
3M,10/13/1998,40.28125,40.28125,38.5625,39.75,22.006945,2046600
3M,10/14/1998,39.75,40.59375,38.9375,39.75,22.006945,2061000
3M,10/15/1998,40.375,41.5625,39.75,41.09375,22.750896,2810200
3M,10/16/1998,41.9375,42.5625,41.5,42.5625,23.564032,4376200
3M,10/19/1998,42.40625,42.65625,41.90625,42.34375,23.442926,2229600
3M,10/20/1998,42.875,43.75,42.84375,43.25,23.944666,2604400
3M,10/21/1998,42.8125,42.875,41.375,42.125,23.321825,2725800
3M,10/22/1998,41.625,41.65625,39.6875,40.71875,22.54328,2813200
3M,10/23/1998,40,40.15625,38.25,38.71875,21.436012,2515400
3M,10/26/1998,39.125,39.78125,38.625,39.25,21.730124,1374000
3M,10/27/1998,39.6875,39.9375,38.84375,39.1875,21.695526,1419000
3M,10/28/1998,39.4375,39.8125,38.3125,38.78125,21.47061,1873400
3M,10/29/1998,38.71875,39.8125,37.71875,39.8125,22.041538,2268200
3M,10/30/1998,38.9375,40.5,38.875,39.8125,22.041538,1746200
3M,11/2/1998,40.0625,40.65625,40.0625,40.15625,22.231848,1554800
3M,11/3/1998,40.25,40.40625,39.71875,40,22.145351,1477800
3M,11/4/1998,40.4375,41.125,40.1875,40.21875,22.266459,1253200
3M,11/5/1998,40.3125,41.125,39.96875,41.125,22.768185,1143600
3M,11/6/1998,40.875,40.875,40.1875,40.3125,22.318363,1177600
3M,11/9/1998,40.40625,40.40625,39.34375,39.625,21.937731,1188600
3M,11/10/1998,39.625,39.6875,38.40625,38.40625,21.262997,1868600
3M,11/11/1998,38.875,39.09375,38.1875,38.4375,21.280298,1778800
3M,11/12/1998,38.625,38.90625,38.15625,38.46875,21.2976,1760600
3M,11/13/1998,38.6875,39.25,38.3125,38.46875,21.2976,1396000
3M,11/16/1998,39.125,40.375,39.125,40.09375,22.197258,1901200
3M,11/17/1998,40,40.6875,39.46875,39.8125,22.041538,1977200
3M,11/18/1998,39.875,41.125,39.59375,41.03125,23.034504,2827400
3M,11/19/1998,41,41.34375,40.5,41.34375,23.209942,2689000
3M,11/20/1998,41.96875,41.96875,40.9375,41.59375,23.35029,2678400
3M,11/23/1998,41.96875,42.53125,41.4375,42.53125,23.876591,2844400
3M,11/24/1998,42.25,42.375,41.375,41.75,23.438005,2194000
3M,11/25/1998,41.875,42,41.46875,41.9375,23.543253,1539200
3M,11/27/1998,41.96875,41.96875,41.1875,41.21875,23.139761,469000
3M,11/30/1998,40.5625,40.875,40.15625,40.25,22.595909,2267800
3M,12/1/1998,40.15625,40.75,40.09375,40.6875,22.84153,2250800
3M,12/2/1998,40.75,40.875,40.03125,40.46875,22.718712,1789800
3M,12/3/1998,40.375,40.9375,39.5,39.71875,22.297678,1754000
3M,12/4/1998,39.84375,40.21875,39.4375,40.125,22.525736,1595600
3M,12/7/1998,40.0625,40.125,38.4375,38.53125,21.631021,2666800
3M,12/8/1998,38.59375,39.40625,38.125,38.9375,21.859089,1953200
3M,12/9/1998,39,39.15625,38.3125,38.875,21.824007,1654600
3M,12/10/1998,38.625,38.625,36.9375,37.25,20.911753,3315400
3M,12/11/1998,37.0625,37.0625,36,36.59375,20.543344,2816200
3M,12/14/1998,36.875,37.65625,36.1875,37.21875,20.894205,2110200
3M,12/15/1998,37.21875,37.3125,36.09375,36.875,20.701223,1963200
3M,12/16/1998,35.125,35.8125,34.6875,35.6875,20.034576,4531400
3M,12/17/1998,35.75,36.875,35.15625,36.625,20.560886,2293200
3M,12/18/1998,36.75,36.875,35.375,35.375,19.859142,3136000
3M,12/21/1998,35.6875,36.34375,35.25,35.25,19.788965,2175400
3M,12/22/1998,35.8125,35.875,34.90625,35.375,19.859142,2222600
3M,12/23/1998,35.4375,36.375,35.25,36.03125,20.227558,2064000
3M,12/24/1998,36.34375,36.875,36.3125,36.75,20.63106,955400
3M,12/28/1998,37.34375,37.53125,36.90625,37.1875,20.876665,1929600
3M,12/29/1998,36.875,37.65625,36.5625,37.5625,21.087185,1829800
3M,12/30/1998,37.6875,37.75,36.59375,36.59375,20.543344,1520000
3M,12/31/1998,36.78125,37.34375,35.5625,35.5625,19.964411,2504000
3M,1/4/1999,36.1875,37.6875,36.09375,37.3125,20.946835,3661000
3M,1/5/1999,37.375,38.375,37.25,37.53125,21.069645,2468600
3M,1/6/1999,37.9375,39.28125,37.90625,39.28125,22.052082,3169400
3M,1/7/1999,38.5,38.53125,37.6875,38.375,21.543312,2173000
3M,1/8/1999,38.25,39,37.46875,38.5625,21.648579,2567000
3M,1/11/1999,38.8125,39.53125,38.0625,39.28125,22.052082,2351600
3M,1/12/1999,38.75,39.46875,38.5625,38.875,21.824007,2082200
3M,1/13/1999,38,38.0625,37.28125,37.625,21.122272,2237800
3M,1/14/1999,37.5,37.5,36.03125,36.0625,20.245096,3022400
3M,1/15/1999,36.34375,37.28125,36.21875,37.28125,20.929293,2421200
3M,1/19/1999,37.34375,37.375,35.78125,36.375,20.42053,2792400
3M,1/20/1999,36.34375,36.59375,34.75,34.9375,19.613535,3944800
3M,1/21/1999,35.15625,36.65625,34.96875,36.289051,20.372284,3153400
3M,1/22/1999,35.96875,36.0625,35.28125,35.65625,20.017042,2218600
3M,1/25/1999,37,38.71875,37,37.5625,21.087185,5789000
3M,1/26/1999,37.5625,38.59375,37.375,37.9375,21.297701,2897600
3M,1/27/1999,38.0625,38.3125,36.9375,37.09375,20.824036,2735000
3M,1/28/1999,37.25,38.1875,37.25,37.8125,21.227537,2136800
3M,1/29/1999,38,38.9375,37.53125,38.8125,21.788919,3128200
3M,2/1/1999,39,39.875,38.5,38.5,21.613489,3423800
3M,2/2/1999,37.6875,37.9375,37.09375,37.9375,21.297701,2636200
3M,2/3/1999,37.9375,37.9375,36.75,37.3125,20.946835,2572600
3M,2/4/1999,37.375,38.96875,36.96875,38.25,21.473141,3008800
3M,2/5/1999,38.375,39.75,38.15625,39.09375,21.946812,2721400
3M,2/8/1999,39.09375,39.875,37.875,38.25,21.473141,2723800
3M,2/9/1999,38.125,38.5625,37.53125,37.625,21.122272,1660800
3M,2/10/1999,37.84375,38.3125,37.5,37.6875,21.157351,1552600
3M,2/11/1999,37.9375,38.75,37.625,38.4375,21.578403,1651000
3M,2/12/1999,38.46875,39.3125,38,38.6875,21.71875,2112600
3M,2/16/1999,38.8125,38.9375,37.875,38.21875,21.455597,2657600
3M,2/17/1999,38.4375,38.625,37.84375,38.03125,21.667816,1758400
3M,2/18/1999,37.75,38.4375,37.4375,38.15625,21.739035,1582000
3M,2/19/1999,38.09375,38.46875,37.71875,38.375,21.863667,1922400
3M,2/22/1999,38.40625,39.375,38.21875,39.25,22.36219,2675000
3M,2/23/1999,38.875,39,37.90625,38.90625,22.166332,2283400
3M,2/24/1999,38.875,39,37.78125,38.09375,21.703436,1942400
3M,2/25/1999,37.90625,38.0625,36.8125,37.625,21.436357,2580400
3M,2/26/1999,37.71875,38.03125,36.75,37.03125,21.098089,2112800
3M,3/1/1999,36.96875,37.0625,36.21875,36.78125,20.955652,1825400
3M,3/2/1999,36.90625,37.59375,36.90625,37.1875,21.187109,1667000
3M,3/3/1999,37.375,37.5,36.75,37.40625,21.311733,2417600
3M,3/4/1999,37.40625,38.375,37.28125,37.59375,21.418556,3049200
3M,3/5/1999,37.96875,38.65625,37.59375,38.5625,21.970499,3117200
3M,3/8/1999,38.4375,38.75,38.15625,38.4375,21.899281,1953400
3M,3/9/1999,38,39.46875,38,38.90625,22.166332,3018200
3M,3/10/1999,38.96875,40.6875,38.875,40.25,22.931927,4626600
3M,3/11/1999,40,40.375,39.5625,40.0625,22.825104,2659600
3M,3/12/1999,40.03125,40.5625,40,40.1875,22.896318,3039000
3M,3/15/1999,40.3125,40.46875,39.53125,39.84375,22.700474,2360800
3M,3/16/1999,40.21875,40.21875,39.09375,39.28125,22.380001,1827400
3M,3/17/1999,39.28125,39.34375,37.78125,38.1875,21.756842,5568000
3M,3/18/1999,37.9375,37.9375,36.5625,36.8125,20.973446,5286200
3M,3/19/1999,37.0625,37.0625,35.625,35.75,20.368107,4685200
3M,3/22/1999,36.03125,36.34375,35.75,36.21875,20.63517,2436000
3M,3/23/1999,36.28125,36.46875,35.53125,35.8125,20.403715,2408400
3M,3/24/1999,35.8125,36.1875,35.34375,35.6875,20.332495,1765400
3M,3/25/1999,35.9375,36.0625,35.125,35.4375,20.190069,3027600
3M,3/26/1999,35.125,35.5625,34.9375,35.15625,20.029829,2403600
3M,3/29/1999,34.6875,35.84375,34.65625,35.65625,20.314695,2060200
3M,3/30/1999,35.5,35.5625,35,35.125,20.012022,2018000
3M,3/31/1999,35.375,35.6875,35.03125,35.375,20.154461,2101000
3M,4/1/1999,35.5,36.5,35.4375,36.375,20.72419,2106800
3M,4/5/1999,36.6875,36.84375,36,36.5,20.79542,2763400
3M,4/6/1999,36.125,36.25,35.78125,35.96875,20.492733,1647600
3M,4/7/1999,35.8125,35.875,35.25,35.65625,20.314695,1504800
3M,4/8/1999,35.4375,36.25,35.25,35.84375,20.421516,1810600
3M,4/9/1999,35.625,35.875,35.21875,35.59375,20.279091,1668400
3M,4/12/1999,35.0625,35.5625,35.03125,35.5,20.225674,1691600
3M,4/13/1999,35.625,36.5,35.5,36.4375,20.759804,2185800
3M,4/14/1999,36.3125,38.3125,36.0625,37.625,21.436357,5097400
3M,4/15/1999,38.125,39.96875,38.03125,39.625,22.575846,6618800
3M,4/16/1999,40.25,40.25,39.5,39.96875,22.77169,4517800
3M,4/19/1999,40.46875,42.5,40.34375,42.125,24.000191,7538000
3M,4/20/1999,42.03125,42.375,40.6875,40.8125,23.252394,4546000
3M,4/21/1999,40.9375,41.375,40.1875,41.3125,23.537271,2093000
3M,4/22/1999,41.25,41.25,39.6875,39.96875,22.77169,2084000
3M,4/23/1999,40.1875,41,40.15625,40.40625,23.020958,1779400
3M,4/26/1999,40.40625,41.5,40.28125,40.9375,23.32362,1748800
3M,4/27/1999,40.9375,41.5,40.3125,40.40625,23.020958,1938600
3M,4/28/1999,40.34375,42.46875,40.3125,42.25,24.071404,3297600
3M,4/29/1999,42.5,43.25,42.5,42.8125,24.391878,4517000
3M,4/30/1999,44.25,45.5,44.21875,44.5,25.353306,10503000
3M,5/3/1999,45.125,47.625,45,46.9375,26.742046,7809200
3M,5/4/1999,46.84375,47.46875,46.53125,46.96875,26.759851,6171400
3M,5/5/1999,47.03125,47.125,45.625,46.1875,26.314749,4922000
3M,5/6/1999,45.5,46.3125,45.25,46.0625,26.243523,2370400
