Company,Date,Open,High,Low,Close,Adj Close,Volume
PG,8/3/1998,39.53125,39.625,37.8125,38.125,20.521551,13006400
PG,8/4/1998,38.40625,39.65625,38.375,38.875,20.925257,15761000
PG,8/5/1998,39.5,40.8125,38.875,40.78125,21.951336,9402000
PG,8/6/1998,40,40.8125,39.03125,39.46875,21.244862,10389200
PG,8/7/1998,40.0625,40.1875,39.28125,39.40625,21.211206,5677800
PG,8/10/1998,39.375,40.25,39.28125,39.90625,21.480339,4439000
PG,8/11/1998,39.0625,39.65625,38.5,39.5625,21.295311,6208600
PG,8/12/1998,39.6875,40.21875,39.5,39.8125,21.429882,3682800
PG,8/13/1998,39.65625,40.125,39.09375,39.21875,21.110283,3937600
PG,8/14/1998,39.1875,39.75,38.875,39.25,21.12711,4320200
PG,8/17/1998,39.28125,40.21875,39.21875,40.15625,21.614914,4552400
PG,8/18/1998,40.25,40.65625,40,40.5,21.799959,3735000
PG,8/19/1998,40.40625,40.59375,39.875,40.125,21.598093,3341200
PG,8/20/1998,40.09375,40.1875,39.125,39.21875,21.110283,4466600
PG,8/21/1998,38.78125,39.625,38.53125,39.5,21.261681,5676800
PG,8/24/1998,39.5,40.46875,39.46875,40.40625,21.749485,3703600
PG,8/25/1998,41,41.5625,40.78125,41.40625,22.28776,4807000
PG,8/26/1998,40.78125,41.6875,40.5,41.4375,22.304577,4001800
PG,8/27/1998,41,41,39.59375,40.28125,21.682192,7602800
PG,8/28/1998,40.5,41.34375,39.75,40.90625,22.018627,6397200
PG,8/31/1998,40.15625,40.5625,38.25,38.25,20.588839,7201800
PG,9/1/1998,38.6875,40.3125,37.65625,40,21.530815,7814000
PG,9/2/1998,39.875,40.21875,39.0625,39.40625,21.211206,6274800
PG,9/3/1998,39.125,39.21875,37.875,38.40625,20.672947,6138600
PG,9/4/1998,38.75,39,36.53125,37.8125,20.35335,5317600
PG,9/8/1998,38.875,39.875,37.875,39.8125,21.429882,5924800
PG,9/9/1998,39.15625,39.15625,35.9375,35.9375,19.34409,12718600
PG,9/10/1998,34.625,34.9375,32.5625,34.5,18.570324,14242400
PG,9/11/1998,34.59375,35.5625,33.4375,33.6875,18.132978,8008200
PG,9/14/1998,34.53125,34.75,33.625,34.5625,18.603964,7263600
PG,9/15/1998,34.5625,34.9375,34.34375,34.84375,18.755352,4263000
PG,9/16/1998,34.96875,35.15625,34.125,35,18.839458,5777000
PG,9/17/1998,32.625,33.78125,32.625,33.40625,17.981586,7928800
PG,9/18/1998,33.625,34.84375,33.09375,34.46875,18.553503,8479000
PG,9/21/1998,33.5,35.5625,33.34375,35,18.839458,5433200
PG,9/22/1998,35.5,36.1875,35.34375,35.71875,19.226339,5329000
PG,9/23/1998,36.875,37.46875,35.9375,37.46875,20.168318,5213200
PG,9/24/1998,37.09375,37.5,35.3125,36.25,19.512297,4189000
PG,9/25/1998,35.6875,35.9375,35.21875,35.25,18.97403,3870800
PG,9/28/1998,36.03125,37.21875,35.875,36.8125,19.815079,4392400
PG,9/29/1998,36.75,37.25,35.65625,36.21875,19.495472,6092800
PG,9/30/1998,36,36.34375,35,35.5625,19.142233,4437200
PG,10/1/1998,35,35.71875,34.8125,35.5625,19.142233,5016400
PG,10/2/1998,35.4375,37.625,35.40625,37.46875,20.168318,6809200
PG,10/5/1998,37.25,37.5625,36.40625,37.09375,19.966461,5543400
PG,10/6/1998,37.4375,38.03125,36.90625,37.125,19.983286,4714600
PG,10/7/1998,37.21875,38.875,36.6875,38.6875,20.824335,7962000
PG,10/8/1998,38.6875,39.78125,38,39.3125,21.160751,10757200
PG,10/9/1998,39.59375,39.625,37.90625,38.6875,20.824335,6954400
PG,10/12/1998,39,39.65625,38.40625,38.6875,20.824335,3466200
PG,10/13/1998,38.8125,39.5,38.5,39.40625,21.211206,3652600
PG,10/14/1998,39.3125,40.0625,38.8125,40,21.530815,4860600
PG,10/15/1998,39.34375,41.84375,39.28125,41.46875,22.32139,6478200
PG,10/16/1998,41.46875,42.375,41.3125,41.875,22.540071,7067600
PG,10/19/1998,41.6875,41.6875,41,41.03125,22.085897,3870600
PG,10/20/1998,41,41.875,40.71875,41.09375,22.119547,5580600
PG,10/21/1998,40.875,41.9375,40.46875,41.90625,22.714415,4049600
PG,10/22/1998,41.90625,43.5,41.5,43.4375,23.544409,8601800
PG,10/23/1998,43.5,44,43.21875,43.71875,23.696848,7446600
PG,10/26/1998,43.5,43.90625,43.09375,43.8125,23.747673,5130400
PG,10/27/1998,44.125,44.15625,42.8125,42.8125,23.205637,4603200
PG,10/28/1998,42.59375,42.75,41.90625,42.1875,22.866858,4131200
PG,10/29/1998,42.25,43.5625,42.0625,43.5,23.578283,3905200
PG,10/30/1998,43.96875,44.5,43.625,44.34375,24.03562,4543000
PG,11/2/1998,44.4375,45,44.3125,44.90625,24.340515,4223800
