Company,Date,Open,High,Low,Close,Adj Close,Volume
ExxonMobil,8/3/1998,34.8125,34.8125,34.03125,34.25,18.928455,4916200
ExxonMobil,8/4/1998,34.375,34.59375,33.5,33.5625,18.548512,8166400
ExxonMobil,8/5/1998,33.5625,33.5625,32,33.09375,18.289446,8691200
ExxonMobil,8/6/1998,32.96875,33,32,32.46875,17.944035,6186200
ExxonMobil,8/7/1998,32.53125,33.8125,32.28125,33.46875,18.496695,9887800
ExxonMobil,8/10/1998,33.40625,34.28125,33.1875,33.8125,18.68668,8466400
ExxonMobil,8/11/1998,33.65625,34.25,32.90625,34,19.020931,9338200
ExxonMobil,8/12/1998,33.78125,34.15625,33.0625,33.53125,18.758698,6537600
ExxonMobil,8/13/1998,33.5625,34.125,33.46875,34.09375,19.073381,7045400
ExxonMobil,8/14/1998,34.09375,34.59375,33.96875,34.1875,19.125837,7487000
ExxonMobil,8/17/1998,33.9375,34.96875,33.90625,34.8125,19.475481,6727400
ExxonMobil,8/18/1998,34.5,35.21875,34.375,35.09375,19.632832,6616200
ExxonMobil,8/19/1998,35.03125,35.40625,34.9375,35.375,19.790173,4940000
ExxonMobil,8/20/1998,35.40625,36.03125,35.0625,35.65625,19.947508,6579600
ExxonMobil,8/21/1998,35.5,35.6875,34.78125,35.4375,19.825121,8529000
ExxonMobil,8/24/1998,35.75,35.8125,35,35.28125,19.737715,6788000
ExxonMobil,8/25/1998,35.40625,35.84375,35,35.1875,19.685274,5832200
ExxonMobil,8/26/1998,34.78125,35.4375,34.75,35.1875,19.685274,5838200
ExxonMobil,8/27/1998,34.75,35.3125,34.625,34.625,19.370584,10116000
ExxonMobil,8/28/1998,34.625,34.90625,33.65625,33.78125,18.898571,9069000
ExxonMobil,8/31/1998,33.96875,34.5625,32.5,32.71875,18.304153,12508200
ExxonMobil,9/1/1998,32.25,33.3125,31.0625,33.1875,18.566395,12234400
ExxonMobil,9/2/1998,33.125,33.34375,31.75,32,17.90206,8673400
ExxonMobil,9/3/1998,31.6875,32.25,31,31.96875,17.884567,10650800
ExxonMobil,9/4/1998,32.25,33.25,31.6875,33.03125,18.478981,10957200
ExxonMobil,9/8/1998,33.5625,33.84375,32.875,33.71875,18.863592,7906600
ExxonMobil,9/9/1998,33.71875,34.625,33.53125,34.34375,19.21324,7495600
ExxonMobil,9/10/1998,34.1875,35.34375,33.6875,34.84375,19.49296,11874600
ExxonMobil,9/11/1998,34.90625,35.46875,34.3125,35.28125,19.737715,8212600
ExxonMobil,9/14/1998,35.40625,35.71875,35.125,35.25,19.72023,6053000
ExxonMobil,9/15/1998,35.03125,35.78125,35.03125,35.625,19.930035,4965000
ExxonMobil,9/16/1998,35.5,35.53125,34.34375,34.90625,19.527929,6489800
ExxonMobil,9/17/1998,34.53125,34.6875,34.1875,34.28125,19.178274,4934200
ExxonMobil,9/18/1998,34,34.09375,33.21875,34.0625,19.055895,11704200
ExxonMobil,9/21/1998,33.5625,34.28125,33.40625,34.09375,19.073381,5271000
ExxonMobil,9/22/1998,34.21875,34.21875,33.25,33.53125,18.758698,6485400
ExxonMobil,9/23/1998,33.75,35.1875,33.71875,35.15625,19.667797,8326800
ExxonMobil,9/24/1998,34.8125,35.28125,34.40625,34.6875,19.40555,7023400
ExxonMobil,9/25/1998,34.40625,34.9375,34.15625,34.1875,19.125837,5446600
ExxonMobil,9/28/1998,34.21875,34.5,33.75,34.03125,19.038416,5493600
ExxonMobil,9/29/1998,34.28125,35.625,33.8125,35.625,19.930035,9665400
ExxonMobil,9/30/1998,35.5,35.5625,34.6875,35.3125,19.755199,11288800
ExxonMobil,10/1/1998,35.09375,35.875,35.03125,35.28125,19.737715,12706600
ExxonMobil,10/2/1998,35.3125,36.78125,35.3125,36.5,20.419533,10574200
ExxonMobil,10/5/1998,36.28125,37.625,36.28125,37.4375,20.944012,14560000
ExxonMobil,10/6/1998,37.625,37.9375,37.28125,37.875,21.188755,12372600
ExxonMobil,10/7/1998,37.875,37.9375,36.625,37.03125,20.71674,11068000
ExxonMobil,10/8/1998,36.625,36.625,35.5,35.84375,20.052397,9777800
ExxonMobil,10/9/1998,36.0625,36.25,35.125,35.375,19.790173,7213000
ExxonMobil,10/12/1998,36.0625,36.09375,35.4375,35.90625,20.087362,5109200
ExxonMobil,10/13/1998,36.21875,36.9375,35.875,36.5,20.419533,6489800
ExxonMobil,10/14/1998,36.8125,37.1875,36.65625,37,20.699255,7362000
ExxonMobil,10/15/1998,37.03125,37.96875,36.78125,37.8125,21.153801,8818600
ExxonMobil,10/16/1998,38.09375,38.28125,37.75,38.15625,21.346098,10439600
ExxonMobil,10/19/1998,38.125,38.375,37.1875,37.4375,20.944012,6970000
ExxonMobil,10/20/1998,37.46875,38.46875,37.4375,38.28125,21.41604,7033000
ExxonMobil,10/21/1998,38.34375,38.46875,37.75,37.78125,21.136314,6789000
ExxonMobil,10/22/1998,37.65625,37.6875,35.46875,35.875,20.069885,9553600
ExxonMobil,10/23/1998,35.9375,35.9375,35.25,35.625,19.930035,6039400
ExxonMobil,10/26/1998,35.6875,36.09375,35.53125,35.59375,19.912539,8038000
ExxonMobil,10/27/1998,35.90625,36.25,34.71875,34.78125,19.457998,7473400
ExxonMobil,10/28/1998,34.84375,35.5,34.78125,35.21875,19.702759,5342400
ExxonMobil,10/29/1998,35.28125,36.40625,35.1875,36.34375,20.332127,5686800
ExxonMobil,10/30/1998,36.71875,36.75,35.625,35.8125,20.034918,5643600
ExxonMobil,11/2/1998,35.6875,36.46875,35.6875,36.03125,20.157293,5916600
ExxonMobil,11/3/1998,36.3125,36.9375,35.8125,36.5,20.419533,4180000
ExxonMobil,11/4/1998,36.625,36.96875,35.90625,36,20.139816,4903400
ExxonMobil,11/5/1998,35.96875,36.4375,35.3125,36.4375,20.384571,6054800
ExxonMobil,11/6/1998,36.3125,36.8125,36.1875,36.75,20.559391,5312800
ExxonMobil,11/9/1998,36.46875,36.5625,35.625,36,20.367041,3891800
ExxonMobil,11/10/1998,35.9375,36.125,35.0625,35.0625,19.836649,6633800
ExxonMobil,11/11/1998,35.5625,35.6875,34.875,35.125,19.871996,6545800
ExxonMobil,11/12/1998,35.4375,36.6875,35.40625,36.40625,20.596878,8997600
ExxonMobil,11/13/1998,36.65625,36.90625,35.5,36.4375,20.614548,6790400
ExxonMobil,11/16/1998,36.21875,36.3125,35.5,35.71875,20.207918,4750400
ExxonMobil,11/17/1998,35.59375,36.21875,35.25,35.28125,19.960394,5074400
ExxonMobil,11/18/1998,35.1875,35.5,34.90625,35.34375,19.995764,6623200
ExxonMobil,11/19/1998,35.34375,35.46875,34.78125,34.9375,19.76593,6319600
ExxonMobil,11/20/1998,35.25,36.0625,35.0625,36,20.367041,9908600
ExxonMobil,11/23/1998,36.09375,36.25,35.46875,36.03125,20.384718,6427800
ExxonMobil,11/24/1998,36,36.65625,35.9375,36.34375,20.561512,5590200
